Sentence,Label,Predicted,Correct
"In the case at bar, the person of appellant was not searched and so the rule announced in Giacona has no application.",Analysis,Facts,False
"The offense is the possession of heroin; the punishment, 10 years.",Facts,Rule/Law/Holding,False
The legislature determined that a similar rationale did not exist for intentional wrong doing by government employees.,Analysis,Rule/Law/Holding,False
The testimony then continued as follows:,Others,Facts,False
The statement was a reasonable comment on the evidence and does not present error.,Conclusion,Analysis,False
"When the appellant denied that he had, an officer was then allowed to testify, over objection that the offenses inquired about did not involve moral turpitude, that he had arrested appellant or had been in company with others who arrested appellant on three or four occasions, and that he had pleaded guilty to vagrancy under an assumed name.",Facts,Analysis,False
"The offense is unlawfully carrying a pistol; the punishment, 180 days in jail.",Conclusion,Rule/Law/Holding,False
Several claims for reversal relate to the court's charge.,Facts,Issue,False
"In view of our disposition of this case, we find it unnecessary to express an opinion upon the argument complained of by state's counsel.",Analysis,Conclusion,False
"In view of our disposition of this appeal, a statement of the facts will not be deemed necessary other than to state that formal Bill of Exception No. 2 recites that during the cross-examination of the prosecuting witness appellant developed that the witness had previously made a written statement to the police and district attorney concerning the offense on trial.",Analysis,Rule/Law/Holding,False
The trial court erred in submitting to the jury the issue of rape by threats.,Facts,Analysis,False
Opinion approved by the Court,Others,Rule/Law/Holding,False
"The court in his charge followed the terms of Article 1177a, supra, and the indictment, and we find no merit in appellant's contention that the court erred in failing to give his requested charges.",Conclusion,Analysis,False
"We do not deem it necessary to review the holding of this Court in Ex Parte Jonischkies, 88 Texas Cr.",Analysis,Rule/Law/Holding,False
Opinion approved by the Court.,Others,Rule/Law/Holding,False
The informal bills of exception shown in the statement of facts have been examined and are overruled.,Conclusion,Rule/Law/Holding,False
"In view of the evidence and the court's instruction to the jury, no reversible error is shown.",Analysis,Conclusion,False
"The admission in evidence of appellant's oral statement to the arresting officer while under arrest, which was in the nature of a confession, was error and calls for a reversal of the conviction.",Conclusion,Analysis,False
"The Government of Guam must use the least restrictive means that would accomplish the legislative purpose of Bill 754 (15th Guam Legislature, 1979 First Regular Session).",Facts,Rule/Law/Holding,False
We overrule appellant's remaining contention that the court erred in failing to charge the jury on the law of entrapment.,Conclusion,Rule/Law/Holding,False
"There is a statement of facts with this record containing the jury argument of counsel, which will be more fully discussed hereafter.",Others,Facts,False
"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Analysis,Facts,False
"The offense is driving an automobile upon a public highway while intoxicated; the punishment, 3 days in jail and a fine of $100.",Facts,Rule/Law/Holding,False
We do not agree with this contention.,Conclusion,Analysis,False
The conduct inquired about on cross-examination must be inconsistent with the trait of character to which the witness had attested.,Analysis,Rule/Law/Holding,False
Appellant's failure to object at the time the pistol was introduced in evidence waived any complaint of the search.,Analysis,Rule/Law/Holding,False
"We are unable to agree that the evidence shows entrapment of appellant, as a matter of law, in commission of the offense.",Conclusion,Analysis,False
"Our prior opinion is withdrawn, and this one is adopted in lieu thereof.",Conclusion,Rule/Law/Holding,False
Our prior opinion is withdrawn.,Others,Facts,False
"""When you and your family are on these highways driving you can't help but sometimes wonder if some drunk driver is going to hit you, run over you and kill you.""",Others,Facts,False
"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",Facts,Others,False
"We are cited no authority on this question and are ""˜aware of none.",Others,Facts,False
The court in its charge submitted the issue of the voluntary character of appellant's written statement to the jury.,Facts,Issue,False
"If you will do this for me would you leave your front porch light on as an O K signal Wed-and Thurs evening ,_Thurs in case you don't get this in time for Wed.",Facts,Others,False
"This is demonstrated by the further fact that the prima facie rule regarding the possession of more than a quart of liquor in a dry area was given to the jury, and there was no reference made to the prima facie rule regarding possession of alcoholic beverages such as beer.",Facts,Analysis,False
No variance is presented.,Others,Facts,False
We have carefully reviewed and considered all of the testimony adduced and have set forth above all of the pertinent testimony that the state offered.,Analysis,Facts,False
The jury are the exclusive judges of the credibility of the witnesses and the weight to be given to their testimony.,Analysis,Rule/Law/Holding,False
"Under this record, we are of the opinion that the incorrect statements made by the various jurors in their discussions and the subsequent vote on the part of some of the jurors to increase the penalty constituted misconduct to the extent that this appellant has not received a fair and impartial trial.",Conclusion,Analysis,False
"You would have to look in the jacket, is that correct?",Facts,Others,False
"""It is generally believed that one of the reasons the statute was enacted was to regulate the many businesses on Guam which have signs entirely in a language other than English or Chamorro that were reported to be advertising pornographic materials for sale.",Facts,Analysis,False
"The jury resolved the conflict in the evidence against appellant, and we find it sufficient to support the conviction.",Analysis,Conclusion,False
"The November 26, 1979 Decision and Order of the Superior Court is vacated, and the Superior Court is ordered to schedule a hearing on the disqualification issue with full and adequate notice being given to counsel for both sides.",Facts,Rule/Law/Holding,False
"The Government further asserts that ""these are not necessarily the exclusive public interests which the statute was enacted to protect..."", but rather, ""... it is possible that the Legislature formulated additional reasons for enacting the statute,"" (emphasis ours.)",Facts,Analysis,False
"In his motion for rehearing, appellant's counsel, who did not represent him in the trial of this case, earnestly requests this court to consider the alleged error made by the trial court in admitting the testimony by deposition of the witness Teddy Skelly.",Facts,Issue,False
"The offense is assault with intent to murder with malice; the punishment, 5 years.",Facts,Rule/Law/Holding,False
"""You are further instructed that if the deceased, Clyde Watson, immediately before the homicide, shot at the defendant, James H. Richardson, with a gun, then the law presumes the deceased, Clyde Watson designed to inflict an injury upon the defendant, James H. Richardson, causing death or serious bodily injury to the said James H.",Facts,Rule/Law/Holding,False
And further contends that if he did convert said automobile the evidence fails to show that it occurred in El Paso County.,Issue,Analysis,False
"First, we have determined that the defendants-appellants may prosecute this appeal independently of any partnership agreement which it might have with other defendants.",Analysis,Rule/Law/Holding,False
"The several hundred page glut which made up the record in this case was totally unnecessary; based on the one issue on appeal, a record several pages long was all that was required.",Others,Analysis,False
The court submitted to the jury the issue of appellants' guilt of both murder with and without malice and of aggravated assault.,Facts,Issue,False
Opinion approved by the Court.,Others,Rule/Law/Holding,False
"Due to our disposition of the cause, the facts need not be set forth.",Others,Rule/Law/Holding,False
Appellant first insists that the evidence is insufficient because it does not show that he came into possession of the property by means of false representation or pretext.,Facts,Issue,False
"Further, the Act only covers negligent torts, and sovereign immunity is not waived for intentional wrongs of the employee.",Analysis,Rule/Law/Holding,False
"""The court further finds that the court was fraudulently misled and caused to recess the court prior to the time for the usual recess on the direct application and request of the said defense attorney Jack Mackin, and that the court was misled by the said Mackin to the extent that the said Kitchens had no intent to enter a plea of guilty, and no agreement having been made, as reported by counsel for the state and the defendant at 1:15 P.M.; and said defense attorney Jack Mackin having directly requested and insisted to the court that the court not cause the defendant to plead to the indictment prior to the conference between the said Jack Mackin and the district attorney and the defendant, full knowing that the bondsmen of the defendant had at that time been stricken from the approved bond list of Tarrant County, Texas, due to large sums in other judgments nisi now pending against them, one of the said bondsmen being the partner of said Jack Mackin; and that the said Jack Mackin went to the office of the district attorney at the time of recess and discussed for a matter of moments the possibility of a nominal sentence, and the defendant Kitchens never appeared for said conference, and repaired immediately to his automobile and drove away; that the said Jack Mackin at no time offered any explanation of the absence of the said Kitchens at the time of or immediately after the reconvening of the court at 1:15 P.M.",Facts,Analysis,False
Such order of appointment of the grand jury commissioners was in compliance with the statute.,Analysis,Facts,False
Appellant relies upon Rotner v.,Analysis,Others,False
"Appellant's last contention is that the court committed reversible error during the state's examination of the prosecuting witness, J. W. Donnell, with reference to his ownership and possession of the 4,000-acre tract when, upon objection being made by appellant, the court stated: ""Well, I believe it is general knowledge that he does have possession of it.""",Issue,Analysis,False
"According to appellant, Mr. Jones and Harley Wingo were mistaken in their identification of him, and the officer's testimony as to his sitting on the curb with Robert Lopez, with the sack of money between them, was not true.",Facts,Analysis,False
"The notice of claim is not a pleading, neither is it a trap for the unwary.",Analysis,Rule/Law/Holding,False
"It is noted, however, that, as heretofore shown, the order in the instant case transferring the cause to Criminal District Court No. 4 does recite that it was with permission of the court.",Analysis,Facts,False
A similar contention was before this Court in Hildebrand v.,Facts,Others,False
"Without a further description, the accused was not put on notice as to what he was alleged to have taken by force.",Analysis,Facts,False
Defendant maintains that this interpretation is in direct conflict with other provisions of the Government Code.,Facts,Analysis,False
"I came back through and asked her again to get up and she said, ""˜No, I am still sick.' I asked her if she wanted anything, and she said, ""˜No.' I went out there and it started getting dark and we couldn't see to play dominoes, so I come in the house and her feet was on the other side of the bed and she was about halfway under the bed and I pulled my shirt off and told her, I said, ""˜Well, I might as well go to bed, you are no company to me today,' I said, T might as well go to bed and forget about enjoying your company,' and she didn't say, she didn't answer me, so I reached down in the ice box, got me a glass of water and ate a bite of celery and some beans and stood there nibbling on some cheese and shut the box and turned around to her and said, ""˜Get up, now, let's get in bed,' and she didn't answer, * * * .""",Facts,Others,False
