Label,Predicted,Count
Facts,Others,211
Analysis,Facts,50
Analysis,Others,39
Conclusion,Facts,37
Rule/Law/Holding,Facts,16
Others,Facts,14
Issue,Facts,14
Rule/Law/Holding,Others,13
Conclusion,Others,12
Issue,Others,7
Others,Issue,4
Rule/Law/Holding,Issue,3
Facts,Conclusion,3
Issue,Conclusion,2
Analysis,Conclusion,2
Facts,Issue,2
Conclusion,Issue,2
Conclusion,Analysis,2
Facts,Rule/Law/Holding,1
Issue,Rule/Law/Holding,1
Others,Analysis,1
Facts,Analysis,1
Others,Rule/Law/Holding,1
Rule/Law/Holding,Analysis,1
Rule/Law/Holding,Conclusion,1
Analysis,Issue,1
Issue,Analysis,1
