Label,Predicted,Count
Facts,Others,73
Analysis,Rule/Law/Holding,39
Facts,Rule/Law/Holding,30
Analysis,Facts,23
Facts,Issue,23
Others,Facts,16
Conclusion,Rule/Law/Holding,16
Analysis,Others,13
Conclusion,Facts,9
Conclusion,Others,9
Rule/Law/Holding,Facts,8
Facts,Analysis,7
Issue,Facts,5
Rule/Law/Holding,Others,5
Conclusion,Analysis,5
Analysis,Issue,5
Facts,Conclusion,3
Conclusion,Issue,3
Issue,Others,3
Others,Issue,3
Others,Rule/Law/Holding,3
Analysis,Conclusion,3
Issue,Analysis,1
Issue,Rule/Law/Holding,1
Others,Analysis,1
Others,Conclusion,1
Rule/Law/Holding,Analysis,1
Rule/Law/Holding,Issue,1
