Sentence,Label,Predicted,Correct
"Though false imprisonment is a lesser included offense to kidnapping under the terms of Article 695, V.A.C.C.P., the necessity for such a charge has been decided adversely to appellant's contention in Daywood v.",Analysis,Rule/Law/Holding,False
"He'll be here in a few minutes.""",Others,Facts,False
""" ""˜There are numerous decisions holding that this court will judge of the action of the trial court in rejecting or admitting testimony from the standpoint of the objections made, and not from the standpoint of objections which might have been made but were not.' """,Rule/Law/Holding,Facts,False
The informal bills of exception shown in the statement of facts have been examined and are overruled.,Conclusion,Rule/Law/Holding,False
"In the face of this record, there is no showing that the arguments complained of resulted in any injury or prejudice to the rights of the appellant.",Analysis,Facts,False
"We have examined the authorities cited, and it it apparent from the opinion in each of them that the person who made the attempted appointment which led the accused to believe he had authority to act was in fact a de jure officer.",Analysis,Rule/Law/Holding,False
The presumption is that the trial judge ruled correctly when he declined to order a mistrial during the closing argument.,Analysis,Others,False
Such a holding in nowise affects the validity of Subdivision (b) or any of the other civil provisions of the Election Code.,Analysis,Rule/Law/Holding,False
We think the chain of custody of the wine in question was,Others,Facts,False
"While in his amended answer appellant alleged that the bond was invalid for various reasons, he did not, as pointed out in our original opinion, in any manner, deny execution of the bond.",Analysis,Others,False
"In Bill No. 4, no certification is made that the argument set forth therein was not supported by the evidence, hence it cannot be appraised because no statement of facts accompanies the record.",Analysis,Facts,False
It is concluded that the evidence is sufficient to sustain the jury's finding that the appellant drove an automobile upon a public street while intoxicated.,Conclusion,Rule/Law/Holding,False
"The conduct complained of is that during their deliberations, the jury received new evidence in the form of a discussion about a film on sex deviation which was recently shown by the local PTA and the remark of one juror that he knew a prominent citizen of the community who was generally known as a sex deviate, but that such could not be proved.",Facts,Analysis,False
We find the evidence sufficient to sustain the conviction and overrule appellant's contention that there was a fatal variance between the allegation and proof of embezzlement and that under the evidence appellant could not be guilty of embezzlement of the mohair but only guilty of embezzlement of the money derived from the sale thereof.,Conclusion,Facts,False
"However, the rule in this Court has been well established that the testimony of an accomplice witness together with the confession of the accused is sufficient to establish the corpus delicti.",Rule/Law/Holding,Facts,False
The evidence is sufficient to support the conviction of the appellant as charged.,Conclusion,Analysis,False
With the exception of appellant's intent each essential element of the offense was proven by direct evidence.,Analysis,Rule/Law/Holding,False
"The offense is carrying a pistol, the punishment, 60 days in jail and a fine of $25.00.",Facts,Rule/Law/Holding,False
"The State contends that under the authority of these cases, and the very general objections made by appellant, no error is shown.",Analysis,Rule/Law/Holding,False
"Upon being advised of the collision, Officer Edgar L. Smith, Jr., and his partner proceeded to the scene around 12:15 A.M. When they arrived, appellant was seated on the front seat of one of the automobiles on the passenger's side.",Facts,Others,False
"Defendant argues that it is impossible to reconcile plaintiff's position with the language of Â§6500.19 which mentions ""claims against"" GMH.",Facts,Rule/Law/Holding,False
