Sentence,Label,Predicted,Correct
"On cross-examination, when appellant was asked if he had any other explanation for having the guns in his car, he replied: ""I just happened to have the firearms, sir.""",Facts,Others,False
"The conviction is for incest; the punishment, ten years.",Facts,Others,False
"The court excused said juror and gave the appellant further opportunity to exercise his challenges on the jury list, which he refused to do, after which the next juror on the list was taken.",Facts,Others,False
The amended statute was in effect on the date the indictment alleged the second conviction was had.,Facts,Others,False
The sole ground for reversal is the contention that the evidence is insufficient to sustain the conviction.,Issue,Others,False
Appellant further contends that the caption of the act amending the statute in question omits mentioning an intent to change the penalty provided for in the body of the act. It is appellant’s position that these contentions advanced by him make the act unconstitutional as being contrary to Art. 3 of Sec.,Issue,Others,False
"In view of our disposition of this case, we find it unnecessary to express an opinion upon the argument complained of by state's counsel.",Analysis,Others,False
"The charge contains the following: ""Before you can convict the defendant of the alleged offense, you must believe from the evidence beyond a reasonable doubt that Mrs. J.",Facts,Others,False
The jury accepted the state's version of the facts and the evidence sustains its verdict.,Analysis,Others,False
"The Court finds that the intent of the Legislature was to include Guam Memorial Hospital within the statutory scheme of that act.""",Analysis,Others,False
The room into which Ruby was carried was that occupied by Blevins and Barton.,Facts,Others,False
"Appellant said: ""Come here a minute,"" the witness related; that she started not to but that appellant said: ""Come on, I won't hurt you,"" so she went over to the chair where appellant was sitting.",Facts,Others,False
The judgment is reversed and the cause is remanded.,Conclusion,Others,False
"State, 320 S.W. 2d 139, holds ""the exercise of discretion is measured by the time the jury have been kept together, considered in the light of the nature of the case and the evidence.""",Rule/Law/Holding,Others,False
"In the case at bar, the person of appellant was not searched and so the rule announced in Giacona has no application.",Analysis,Others,False
The judgment final recites that the appellants appeared in person and each announced ready for trial.,Facts,Others,False
Any claims of error for want of proper service became a nullity when the surities appeared in person and by counsel in open court upon the call of this cause and announced ready for.,Analysis,Others,False
"The state, with the agreement of appellant, introduced in evidence certain testimony given by a witness, C.",Facts,Others,False
I would affirm the conviction.,Conclusion,Others,False
"The offense is the possession of whisky, vodka, gin and beer in a dry area for the purpose of sale; the punishment, a fine of $400.00.",Facts,Others,False
"""Where it clearly appears on the face of the evidence that evidence is not admissible for any purpose, the general objection will be deemed sufficient.""",Rule/Law/Holding,Others,False
It is concluded that the evidence is sufficient to sustain the jury's finding that the appellant drove an automobile upon a public street while intoxicated.,Conclusion,Others,False
Such order of appointment of the grand jury commissioners was in compliance with the statute.,Analysis,Others,False
We find the evidence sufficient to sustain the conviction and overrule appellant's contention that there was a fatal variance between the allegation and proof of embezzlement and that under the evidence appellant could not be guilty of embezzlement of the mohair but only guilty of embezzlement of the money derived from the sale thereof.,Conclusion,Others,False
"The whisky, vodka and beer was introduced in evidence and it was stipulated that the area was dry.",Facts,Others,False
"State, supra, on motion for rehearing, after reviewing our decisions and the Federal Decisions we overruled a similar contention but made it plain that by such holding we did not condone any arbitrary disregard of the Constitutional mandate which imposes upon women as a class the inescapable duty of jury service.",Analysis,Others,False
"Finding the evidence sufficient and no reversible error appearing, the judgment of the trial court is affirmed.",Conclusion,Others,False
On cross-examination a photograph of the nude body of the deceased was exhibited to appellant and he was asked concerning various bruises shown by such photograph.,Facts,Others,False
The questioning lasted approximately an hour.,Facts,Others,False
"She knew she had done wrong by getting drunk that morning and starting again.""",Facts,Others,False
The vehicles were stopped for only four or five minutes.,Facts,Others,False
Police officers investigated and saw a case of beer in the back of the truck.,Facts,Others,False
Appellant was convicted in the Criminal District Court of Jefferson County of the offense of bookmaking and his punishment assessed at confinement in the penitentiary for a term of two years.,Facts,Others,False
"See 67 Corpus Juris Secundum, page 89, and cases annotated.",Rule/Law/Holding,Others,False
"By brief and oral argument, appellant’s very able counsel urges his contentions.",Facts,Others,False
"Rudy A. Kirchner testified that he carried a personal account at the bank on which the check upon which this prosecution was based, as well as other checks introduced in evidence, were drawn; that he had ordered 200 personalized and numbered checks but that only 175 were delivered to him and that all the checks introduced in evidence, including the one passed to Chapa, bore numbers within the group of 25 checks which were not delivered to him.",Facts,Others,False
"The evidence which appellant contends raised the issue of insanity at the time the burglary was committed is that of his mother who testified that he was subject to epileptic seizures which lasted for five or ten minutes: ""He gets to where he doesn't know a thing.",Facts,Others,False
"While appellant held a pistol on their victim, she rifled the narcotics box and the cash register.",Facts,Others,False
"The notice of claim is not a pleading, neither is it a trap for the unwary.",Analysis,Others,False
"While in his amended answer appellant alleged that the bond was invalid for various reasons, he did not, as pointed out in our original opinion, in any manner, deny execution of the bond.",Analysis,Others,False
"Agent Bland, they went to the home of Edward Tafolla, who was at the time acting as a special employee of the Bureau of Narcotics and the San Antonio police, searched him, gave him $10.00, and carried him to a point in the city where they parked the government automobile in which they were traveling.",Facts,Others,False
Such a holding in nowise affects the validity of Subdivision (b) or any of the other civil provisions of the Election Code.,Analysis,Others,False
"The conviction is for the possession of marijuana; the punishment, thirty-five years.",Facts,Others,False
"After continuing to drive, Agent Sherman ""” upon appellant's instructions ""” stopped the car and ""honked"" the horn.",Facts,Others,False
The remaining claim for reversal is the contention that the court erred in overruling appellant's motion for new trial based upon the fact that a member of the jury separated from other jurors and visited the drug store during the trial.,Issue,Others,False
"We stopped several places to have a beer and we arrived in Anahuac, Texas, about 12:30 A.M. on Saturday, October 10, 1959.",Facts,Others,False
Vacated and remanded.,Conclusion,Others,False
“I mean I took the pictures for the purpose of sex education.,Facts,Others,False
"However, the rule in this Court has been well established that the testimony of an accomplice witness together with the confession of the accused is sufficient to establish the corpus delicti.",Rule/Law/Holding,Others,False
The evidence from the standpoint of the state shows that Frank H. Fryer was not armed and made no attack upon appellant.,Facts,Others,False
"The witness Nichols, who was a member of the Highway Patrol on the day in question, testified that, while on duty at approximately 8:00 P.M. he had occasion to stop an automobile and was talking to the driver thereof when he noticed an automobile approaching them; that it crossed over the center line headed in the direction of where he and the other driver were standing; that they ran for the ditch to avoid being hit; and that, after the moving automobile passed, he re-entered his patrol car and gave chase.",Facts,Others,False
"The State contends that under the authority of these cases, and the very general objections made by appellant, no error is shown.",Analysis,Others,False
"The defendant was ordered by a superior immediately to appear in the Intelligence Division of the Department of Revenue and Taxation and certain questions were asked of him in the presence of the Department head, the special agent and a stenographer.",Facts,Others,False
"The conviction is for forgery; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment, as provided by Art. 63, V.A.P.C.",Facts,Others,False
He was not asked if they were the same shells brought to him at his fish market by the appellant.,Facts,Others,False
"The sign was described as some 6 feet tall, including the post, the face of the sign being about three feet tall and around eight inches wide.",Facts,Others,False
"Appellant insists that the court erred in overruling his motion to quash the indictment on the ground that there were no women on the Grand Jury which returned the indictment against him and because women had, except in the years 1955 and 1956, been systematically and deliberately excluded from Grand Jury service in Uvalde County since November 19, 1954, the effective date of the amendment of Article XVI, Section 19 of the Constitution of the State of Texas making women eligible for jury service in this State.",Issue,Others,False
And further contends that if he did convert said automobile the evidence fails to show that it occurred in El Paso County.,Issue,Others,False
"The court in his charge submitted such defense, but refused appellant's request that the jury be instructed that in determining the existence of real or apparent danger it was the duty of the jury to ""consider the words, acts and conduct, if any, of the injured party, at the time of and prior to the time of the assault and consider whatever threats, if any, the injured party may have made to the defendant * *",Facts,Others,False
"In the instant case, we feel that most of the statements made by the various witnesses in their testimony on the motion, for new trial constituted misstatements of law which no doubt caused the sentence imposed to be enhanced beyond what it would have been had the statements not been made.",Analysis,Others,False
Appellant's oral statement and the shoes were admitted in,Facts,Others,False
"Thereupon, Kitchen took appellant to his home in Flynn and the next morning, October 24, Kitchen returned to Flynn and took appellant to his work.",Facts,Others,False
We remain of the opinion that the evidence is sufficient to sustain the conviction.,Conclusion,Others,False
"The front of appellant's car struck Robert Lee Phillips, breaking his leg and thumb.",Facts,Others,False
"The offense is the possession of equipment designed for use in the manufacture of an illicit beverage; the punishment, six months in jail and a fine of $100.00.",Facts,Others,False
"No reversible error appearing, the judgment is affirmed.",Conclusion,Others,False
"The proceedings appear to be regular, and the judgment is affirmed.",Conclusion,Others,False
"Thereafter, Officer Evans was recalled by the State in rebuttal and, over appellant's objection, was permitted to testify that appellant told him at the scene of the collision he had been with the girl all evening and that he had two or three drinks of Ezra Brooks bourbon whisky the night before he was arrested-",Facts,Others,False
"A litigant is not permitted during a trial on the merits to remain silent as to affirmative defenses known to him, and then when an adverse result is reached, on motion for new trial complain because of his own neglect.",Rule/Law/Holding,Others,False
"In view of our disposition of this appeal, a statement of the facts will not be deemed necessary other than to state that formal Bill of Exception No. 2 recites that during the cross-examination of the prosecuting witness appellant developed that the witness had previously made a written statement to the police and district attorney concerning the offense on trial.",Analysis,Others,False
"In the face of this record, there is no showing that the arguments complained of resulted in any injury or prejudice to the rights of the appellant.",Analysis,Others,False
"The witness Darden also testified that the driver was the only person in the speeding car; that he could not ""straight out come out and identify him as he went bythat appellant told him he was driving and he had some blood on his arm and forehead.",Facts,Others,False
"This is an appeal from an order entered in a habeas corpus proceeding by the Judge of the 142nd Judicial District Court of Midland County, remanding appellant to custody for extradition to the State of Nebraska.",Facts,Others,False
"It is the general rule that where the criminal intent originates in the mind of an accused, the fact that the officers furnish the opportunity for or aid the accused in the commission of a crime constitutes no defense to such a prosecution.",Rule/Law/Holding,Others,False
Appellant urges that the trial court erred in admitting testimony given by one of the arresting officers that Jackson identified appellant at the line-up even before those participating in the line-up were in proper position.,Issue,Others,False
"In view of the fact that the evidence shows that appellant was seated behind the steering wheel of the automobile shortly after it collided with the bridge and no other occupants were shown to have been in the automobile, the evidence is sufficient to show that appellant was the driver thereof.",Analysis,Others,False
"This motion is not shown to have been presented to the trial court or acted upon by him, and the same was controverted by the State.",Facts,Others,False
They were running up and down the hall and kicked on several of the doors.,Facts,Others,False
Appellant contends that the court erred in not permitting his counsel to ask Mrs. Williams whether or not she had an opinion as to whether appellant knew the difference between right and wrong.,Issue,Others,False
Requested charge No. 4 would have instructed the jury to acquit appellant unless they found that on the date in question an occupant of the house did engage in acts of illegal sexual intercourse.,Facts,Others,False
"In the case at bar, we feel that the relator carried the burden of overcoming the presumption that the recitals in the judgment were not only true but sufficient to sustain the trial court's action.",Analysis,Others,False
"Appellant stated that the first shot struck the animal in the gut and after it jumped the fence he fired the second shot, which killed the deer.",Facts,Others,False
They drove their victim's car to the side street and transferred to appellant's automobile.,Facts,Others,False
The evidence showing such financial condition of the company was admissible on the question of appellant's intent and motive in committing either the offense of theft or embezzlement of the mohair as charged in counts 5 and 8 of the indictment and which were submitted to the jury.,Analysis,Others,False
"In their conversation, appellant asked Glenda to marry him, talked about prostitution, told her ""you make good money at it"" and that ""he was a hustler of women.""",Facts,Others,False
We climbed up the drain pipe.,Facts,Others,False
The Appellant Blevins was not a resident at the hotel but visited there frequently.,Facts,Others,False
The arrest sheet appears in the record as a part of appellant’s bill of exception and we observe nothing therein which would impeach the testimony of the witness for the state.,Analysis,Others,False
"It will be noticed that the evidence does not suggest that appellant was in a seizure or was suffering the effects of a seizure at the time he went from Houston to Anahuac, climbed up the drain pipe to the roof of the drug store, took all the narcotics he could find as well as other property, and climbed out through the hole in the roof.",Facts,Others,False
The officer further testified that they found a large amount of medical instruments and material.,Facts,Others,False
At such time the .22 rifle containing one fired cartridge was recovered from the tank.,Facts,Others,False
It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis,Others,False
We hold this evidence was admissible to show that the appellant had a motive for killing Farris.,Conclusion,Others,False
Appellant's failure to object at the time the pistol was introduced in evidence waived any complaint of the search.,Analysis,Others,False
"By a formal bill of exception, appellant brings forward two contentions.",Facts,Others,False
"""The court further finds that the court was fraudulently misled and caused to recess the court prior to the time for the usual recess on the direct application and request of the said defense attorney Jack Mackin, and that the court was misled by the said Mackin to the extent that the said Kitchens had no intent to enter a plea of guilty, and no agreement having been made, as reported by counsel for the state and the defendant at 1:15 P.M.; and said defense attorney Jack Mackin having directly requested and insisted to the court that the court not cause the defendant to plead to the indictment prior to the conference between the said Jack Mackin and the district attorney and the defendant, full knowing that the bondsmen of the defendant had at that time been stricken from the approved bond list of Tarrant County, Texas, due to large sums in other judgments nisi now pending against them, one of the said bondsmen being the partner of said Jack Mackin; and that the said Jack Mackin went to the office of the district attorney at the time of recess and discussed for a matter of moments the possibility of a nominal sentence, and the defendant Kitchens never appeared for said conference, and repaired immediately to his automobile and drove away; that the said Jack Mackin at no time offered any explanation of the absence of the said Kitchens at the time of or immediately after the reconvening of the court at 1:15 P.M.",Facts,Others,False
"The photographs taken by the officers were also introduced into evidence, without objection.",Facts,Others,False
"In the transaction appellant and his companions used a Gulf Company Credit Card which had been issued to Lewter Feed Lots Company of Lubbock from which an invoice for the purchase was made and the name ""Joe Trussell"" was signed thereto by appellant.",Facts,Others,False
"She testified further that she was with appellant when he was arrested at 4:00 A.M. in Sweetwater for the prior misdemeanor conviction of driving while intoxicated and that she paid the sheriff the fine at 2:00 P.M. on that same day, and that insofar as she knew appellant had not gone before a magistrate to enter a plea in such case.",Facts,Others,False
We think the indictment not vulnerable to the attack.,Analysis,Others,False
