Sentence,Label,Predicted,Correct
"It is next contended that the evidence fails to show that the solicitation was made without the consent of the prosecuting witness, as charged in the indictment.",Issue,Analysis,False
"472, 293 S.W. 2d 659, we said ""For the argument to offend against the statute, Art. 710, V.A.C.C.P., prohibiting allusion to or comment upon the failure of a defendant to testify, the language used must be looked to from the standpoint of the jury, and the implication that the language used had reference to the defendant's failure to testify must be a necessary one.",Rule/Law/Holding,Analysis,False
1 and 2 he determined that each of them,Others,Facts,False
"We held in the' last cited case that proof that the defendant owned the truck involved in an accident was not evidence of an incriminating character which tended to connect him with the commission of the offense of failing to stop and render aid, and was insufficient to corroborate the testimony of an accomplice witness who testified he was the driver.",Rule/Law/Holding,Analysis,False
"Scire facias, the citation, was issued and served on the sureties pursuant to the judgment nisi entered in Criminal District Court No. 2 of Tarrant County.",Rule/Law/Holding,Facts,False
"The holding was that such testimony and argument offended the rule that whether warned or not, the silence of the defendant while under arrest cannot be used against him as a confession of the truth of statements made in his presence by his codefendants or anybody else.",Rule/Law/Holding,Analysis,False
The evidence would appear to be admissible.,Analysis,Conclusion,False
"While in his amended answer appellant alleged that the bond was invalid for various reasons, he did not, as pointed out in our original opinion, in any manner, deny execution of the bond.",Analysis,Facts,False
The jury by their verdict resolved the disputed issues against,Analysis,Conclusion,False
We are aware of no authority supporting this claim of error and are cited to none.,Others,Facts,False
"The Government further asserts that ""these are not necessarily the exclusive public interests which the statute was enacted to protect..."", but rather, ""... it is possible that the Legislature formulated additional reasons for enacting the statute,"" (emphasis ours.)",Facts,Analysis,False
This court held that the state could cross-examine him as to the mode and manner of committing the offense.,Rule/Law/Holding,Facts,False
"In the recent case of Ex parte Knoll, 339 S.W. 2d 678, citing Ex parte Higgins, 338 S.W. 2d 717, in upholding the action of the governor of this state ordering the return of a relator to the demanding state after revocation of his probation in that state this court said:",Rule/Law/Holding,Facts,False
"The search was not made as an incident to the arrest of appellant for the offense of unlawfully carrying on or about her person a pistol, but as an incident to the search of the driver of the automobile in the investigation of the burglary or attempted burglary of the drug store.",Analysis,Facts,False
"The offense is assault with intent to murder with malice; the punishment, 8 years.",Conclusion,Facts,False
The facts upon which the trial court revoked appellant's probation are shown by his admission that the allegations of the motion to revoke were true.,Facts,Analysis,False
The evidence clearly shows that appellant obtained possession of the automobile from the prosecuting witness by the giving of a worthless check.,Facts,Analysis,False
Appellant contends that the offering in evidence of the application for the suspended sentence created a fact issue for the jury and that it made it incumbent upon the trial court to instruct upon and to present to the jury for its determination the issue of a suspended sentence.,Issue,Analysis,False
We observe that all the affidavits attached to the state's answer are practically identical in length and in meaning.,Facts,Analysis,False
