Sentence,Label,Predicted,Correct
"After the mother of the deceased had testified on direct examination and cross-examination, she was again questioned by the attorney for the state, Mr. Ernst, on re-direct examination, as follows:",Facts,Others,False
"Appellant argues with much force that her possession of heroin, shown by the state's evidence, was only such as necessarily resulted from her accommodation of Armstrong in its purchase.",Facts,Analysis,False
The sole ground for reversal is the contention that the evidence is insufficient to sustain the conviction.,Issue,Others,False
"Judge McCleskey, Justice of the Peace of Precinct One, Place One, Lubbock County, testified that the City of Lubbock was located entirely within Precinct One of said county and",Facts,Others,False
"Testimony was introduced, without objection, showing the search of the appellant and the finding of marijuana.",Facts,Rule/Law/Holding,False
"In view of the evidence and the court's instruction to the jury, no reversible error is shown.",Analysis,Others,False
Several claims for reversal relate to the court's charge.,Facts,Others,False
"""* * * * jn instances in which there are two district courts, each having criminal jurisdiction, situated in the same county, and the legislative provision authorizing the transfer of cases from one to the other, it is too late on appeal to complain, as is done in the present case, that the trial is upon an indictment filed in one of the courts and the trial is had in the other.",Rule/Law/Holding,Analysis,False
"The proceedings appear to be regular, and the judgment is affirmed.",Conclusion,Others,False
We overrule appellant's remaining contention that the court erred in failing to charge the jury on the law of entrapment.,Conclusion,Others,False
"Defendant argues that it is impossible to reconcile plaintiff's position with the language of Â§6500.19 which mentions ""claims against"" GMH.",Facts,Others,False
The evidence shows a burglary of the house in question by someone.,Facts,Rule/Law/Holding,False
"The offense is the possession of heroin; the punishment, 10 years.",Facts,Others,False
"Appellant's counsel had asked the witness to tell the jury how he knew that the persons referred to in the preceding bill were working for appellant, and the answer is shown to have been in response to such question.",Facts,Rule/Law/Holding,False
Appellant contends that the court erred in permitting Dr. Mason to testify concerning the blood sample and its analysis and to give his opinion based thereon.,Issue,Others,False
"Thomas J. Hill, who also witnessed the accident, testified that it appeared to him that appellant had been drinking.",Facts,Rule/Law/Holding,False
"However, it must be remembered that at the time of the May 11, 1977 deletion Â§6500.19 was already in effect.",Facts,Others,False
We have searched this record with care and have been unable to find the evidence to support the conclusion expressed in the State's brief that appellant was seen unloading the still pot.,Analysis,Rule/Law/Holding,False
The remaining claim for reversal is the contention that the court erred in overruling appellant's motion for new trial based upon the fact that a member of the jury separated from other jurors and visited the drug store during the trial.,Issue,Others,False
"The search was not made as an incident to the arrest of appellant for the offense of unlawfully carrying on or about her person a pistol, but as an incident to the search of the driver of the automobile in the investigation of the burglary or attempted burglary of the drug store.",Analysis,Facts,False
"The search warrant, if there was one, was not before the Court in Mapp.",Facts,Others,False
"The offense is assault with intent to murder with malice; the punishment, 5 years.",Facts,Conclusion,False
The judgment is reversed and the cause remanded.,Conclusion,Others,False
"""I cannot try this case to please these attorneys, Mr. Tucker and Mr. Cain, or any other defense attorneys.""",Others,Rule/Law/Holding,False
Appellant predicates this appeal upon two formal bills of exception and several informal bills of exception.,Facts,Others,False
The framers of the bill thus informed the public and their fellow legislators that the purpose of the bill was to change the definition.,Facts,Others,False
"The admission in evidence of appellant's oral statement to the arresting officer while under arrest, which was in the nature of a confession, was error and calls for a reversal of the conviction.",Conclusion,Others,False
"Appellant contends that since his acts did not result in death, and because of his age, we should reverse the case because the punishment is excessive.",Issue,Others,False
"“ ‘If there had been someone else in the car with the defendant, Judge Fletcher [appellant’s attorney] would have had him here.’ ”",Facts,Others,False
It is concluded that the evidence is sufficient to sustain the jury's finding that the appellant drove an automobile upon a public street while intoxicated.,Conclusion,Others,False
The officer then expressed his opinion that the appellant was intoxicated.,Facts,Others,False
Appellant's remaining contention is that the court erred in admitting the evidence showing the insolvent financial condition of L. Schwartz Company and in refusing to withdraw such evidence from the jury's consideration and instruct them not to consider the same.,Facts,Others,False
We do not agree with this contention.,Conclusion,Others,False
The vehicles were stopped for only four or five minutes.,Facts,Others,False
"The record reflects that on March 11, 1960, appellant, while driving his automobile, was involved in an accident with another .vehicle driven by G.",Facts,Others,False
"You would have to look in the jacket, is that correct?",Facts,Others,False
“I mean I took the pictures for the purpose of sex education.,Facts,Others,False
"The conviction is for murder without malice; the punishment, two years.",Facts,Others,False
"We further think that the evidence is abundantly sufficient to support either theory of the state as to appellant's guilt, whether it be as a principal with his companions or as an individual offender.",Analysis,Others,False
"""You are further instructed that if the deceased, Clyde Watson, immediately before the homicide, shot at the defendant, James H. Richardson, with a gun, then the law presumes the deceased, Clyde Watson designed to inflict an injury upon the defendant, James H. Richardson, causing death or serious bodily injury to the said James H.",Facts,Rule/Law/Holding,False
"Nothing at all to connect those up and no proper predicate laid.""",Analysis,Others,False
If either request was to be allowed it should have been that of defense counsel made before the lists showing the peremptory challenges had been compared.,Analysis,Others,False
Requested charge No. 4 would have instructed the jury to acquit appellant unless they found that on the date in question an occupant of the house did engage in acts of illegal sexual intercourse.,Facts,Others,False
"I concur in the affirmance of this conviction which upholds the constitutionality of Article 1404b, V.A.P.C.",Conclusion,Others,False
"There is nothing in the record showing that a brief has been filed in this Court, as required by the Rules of Civil Procedure.",Analysis,Others,False
"The following testimony was adduced by the state upon cross-examination of the witness, Billie Yvonne Coleman:",Facts,Others,False
""" ""˜There are numerous decisions holding that this court will judge of the action of the trial court in rejecting or admitting testimony from the standpoint of the objections made, and not from the standpoint of objections which might have been made but were not.' """,Rule/Law/Holding,Others,False
We do not think the 56th Legislature was laboring under such restriction.,Analysis,Others,False
No brief has been filed on behalf of the appellant.,Facts,Others,False
These twenty sacks were recovered and returned to Coplin.,Facts,Others,False
This review is limited to determining whether the trial judge abused his discretion in revoking probation.,Issue,Others,False
"E. Bailey, that the Defendant before he was arrested told him that there was no one in the car with him at the time of the collision and that M.",Facts,Others,False
The jury found appellant sane on both issues of insanity and found him guilty as charged in the indictment and assessed his punishment at death.,Conclusion,Rule/Law/Holding,False
"Appellant repudiated that portion of his confession in which he admitted going to her home and also, by his testimony, raised an issue as to the voluntary nature of the confession.",Facts,Analysis,False
"State, 198 S.W. 2d 270, that the offense of theft from the person is not an included offense in the crime of robbery and that a court is without jurisdiction to try an accused for the offense of theft from the person under an",Rule/Law/Holding,Others,False
"The trial court instructed the jury to disregard the statement, but overruled appellant's motion that a mistrial be declared.",Facts,Others,False
"He is in no position to complain because he had already been served in this cause on May 5, 1959, long prior to the issuance of the alias scire facias.",Analysis,Others,False
"Appellant's last contention is that the court committed reversible error during the state's examination of the prosecuting witness, J. W. Donnell, with reference to his ownership and possession of the 4,000-acre tract when, upon objection being made by appellant, the court stated: ""Well, I believe it is general knowledge that he does have possession of it.""",Issue,Others,False
"The Government further asserts that ""these are not necessarily the exclusive public interests which the statute was enacted to protect..."", but rather, ""... it is possible that the Legislature formulated additional reasons for enacting the statute,"" (emphasis ours.)",Facts,Others,False
"Frank H. Fryer, the husband and injured party, testified: ""I frightened her because she thought I was gone"" and that after she made the statement ""Frank, don't kill me"" he said: ""I'm not going to kill you.",Facts,Others,False
"After the appellant said: ""This is a holdup.",Facts,Others,False
"In the absence of any showing of injury the error, if any, is not ground for reversal.",Analysis,Others,False
"The conviction is for forgery; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment, as provided by Art. 63, V.A.P.C.",Facts,Conclusion,False
The evidence is sufficient to support the conviction of the appellant as charged.,Conclusion,Others,False
"The conviction is for driving while intoxicated; the punishment, 3 days in jail and a fine of $50.",Facts,Others,False
The facts and circumstances in evidence are sufficient to warrant the jury's conclusion that the appellant possessed the barbituates as charged.,Analysis,Rule/Law/Holding,False
"The offense is carrying a pistol, the punishment, 60 days in jail and a fine of $25.00.",Facts,Rule/Law/Holding,False
"We held that the answer was in response to the question, probably invited, and in explanation of his attitude toward accused.",Analysis,Others,False
The other two sacks were recovered from another store.,Facts,Others,False
The jury accepted the state's version of the facts and the evidence sustains its verdict.,Analysis,Others,False
"The offense is assault with intent to murder; the punishment, seven years.",Conclusion,Others,False
The appellant did not testify but called one witness who testified only about appellant's employment.,Facts,Others,False
The trial court erred in sustaining the state's objection and in excluding the proffered testimony.,Conclusion,Others,False
Now you say that the premises were controlled by Report Walton on that date and you know that?,Facts,Others,False
"This motion is not shown to have been presented to the trial court or acted upon by him, and the same was controverted by the State.",Facts,Rule/Law/Holding,False
The judgment is reversed and the cause is remanded.,Conclusion,Others,False
"Here, appellant did not testify, but offered his own application for suspended sentence.",Facts,Others,False
"The state introduced in evidence a written statement signed by the appellant on November 1, 1960, and it reads in part as follows:",Facts,Others,False
He presents this matter by an informal bill of exception and contends that the jury had already seen the seat covers and the court's instruction to disregard them could not cure the error.,Issue,Others,False
"Without objection, the officer testified that they searched the premises, where they found the instruments and utensils later introduced into evidence as State's Exhibit Nos.",Facts,Rule/Law/Holding,False
"""It is generally believed that one of the reasons the statute was enacted was to regulate the many businesses on Guam which have signs entirely in a language other than English or Chamorro that were reported to be advertising pornographic materials for sale.",Facts,Analysis,False
This order was in direct contradiction to the representation,Facts,Others,False
The jury are the exclusive judges of the credibility of the witnesses and the weight to be given to their testimony.,Analysis,Others,False
The prior convictions were proved by certain prison records and comparison of finger prints in the manner which has been held sufficient by this Court.,Analysis,Rule/Law/Holding,False
The statement was a reasonable comment on the evidence and does not present error.,Conclusion,Others,False
"Prior to closing time, the appellant had been accompanied by Doris Green while he took his nephew home.",Facts,Others,False
"She knew she had done wrong by getting drunk that morning and starting again.""",Facts,Others,False
"The offense is the possession of equipment designed for use in the manufacture of an illicit beverage; the punishment, six months in jail and a fine of $100.00.",Facts,Rule/Law/Holding,False
"First, he complains of and submits as error the action of the trial court in failing to instruct the jury relative to the application of the suspended sentence law.",Issue,Others,False
"As to the case at bar, the caption of the act gives notice that the purpose of the proposed enactment was to add a new article, define the offense, fix a penalty, provide for subsequent convictions, and for a conviction for desertion by leaving the state.",Facts,Others,False
"If you will do this for me would you leave your front porch light on as an O K signal Wed-and Thurs evening ,_Thurs in case you don't get this in time for Wed.",Facts,Rule/Law/Holding,False
"Even so, the objection was levelled at the whole report and did not point out the apparent corroboration on the disputed issue.",Facts,Others,False
Complaint is again made as to the service on appellant Martin.,Facts,Others,False
"In the face of this record, there is no showing that the arguments complained of resulted in any injury or prejudice to the rights of the appellant.",Analysis,Others,False
She was questioned more fully as follows:,Facts,Others,False
"The state, with the agreement of appellant, introduced in evidence certain testimony given by a witness, C.",Facts,Others,False
"The conviction is for negligent homicide in the second degree; the punishment, one year in jail.",Facts,Others,False
Our holding that the evidence relating to the search was properly before the court disposes of appellant's contention that without such evidence his motion for instructed verdict was improperly overruled.,Conclusion,Others,False
The prior convictions alleged were proved and admitted.,Facts,Others,False
"The State contends that under the authority of these cases, and the very general objections made by appellant, no error is shown.",Analysis,Others,False
