Sentence,Label,Predicted,Correct
"""* * * * jn instances in which there are two district courts, each having criminal jurisdiction, situated in the same county, and the legislative provision authorizing the transfer of cases from one to the other, it is too late on appeal to complain, as is done in the present case, that the trial is upon an indictment filed in one of the courts and the trial is had in the other.",Rule/Law/Holding,Issue,False
"Appellant insists that the evidence is insufficient to sustain the conviction because it was not shown that he induced, enticed or encouraged the minor to go to the place where intoxicating liquor was sold as alleged in the information.",Issue,Facts,False
"Finding the evidence sufficient and no reversible error appearing, the judgment of the trial court is affirmed.",Conclusion,Facts,False
Appellant insists that the trial court erred in refusing to grant his motion for a severance.,Issue,Facts,False
This witness also related that appellant agreed to take a urine test but when he got to the jail he refused it.,Facts,Others,False
She was questioned more fully as follows:,Facts,Others,False
"He further stated that prior to this occurrence, he had consumed 10 or 12 bottle of beer, which was double the amount of which he normally partook and that he had never been convicted of a felony in this state or any other state.",Facts,Others,False
We think the chain of custody of the wine in question was,Others,Facts,False
By their verdict the jury found appellant guilty of the offense of embezzlement as charged in the eighth count.,Facts,Others,False
"The search was not made as an incident to the arrest of appellant for the offense of unlawfully carrying on or about her person a pistol, but as an incident to the search of the driver of the automobile in the investigation of the burglary or attempted burglary of the drug store.",Analysis,Others,False
"The court excused said juror and gave the appellant further opportunity to exercise his challenges on the jury list, which he refused to do, after which the next juror on the list was taken.",Facts,Others,False
"In the recent case of Ex parte Knoll, 339 S.W. 2d 678, citing Ex parte Higgins, 338 S.W. 2d 717, in upholding the action of the governor of this state ordering the return of a relator to the demanding state after revocation of his probation in that state this court said:",Rule/Law/Holding,Others,False
The facts and circumstances in evidence are sufficient to warrant the jury's conclusion that the appellant possessed the barbituates as charged.,Analysis,Facts,False
"It charged the existence of facts which, if sustained, show a violation of the law.",Rule/Law/Holding,Others,False
"Appellant testified and offered evidence from other witnesses to the effect that he consumed two “martinis” shortly before his arrest, but that he was not intoxicated.",Facts,Others,False
"On July 25, 1960 Jimmy Martin, as surety, signed an instrument which recited that he waived the issuance and service upon him of the scire facias and entered his appearance in said cause for all purpose.",Facts,Others,False
It is apparent from the above facts that the contention presents no error.,Analysis,Facts,False
"As to the case at bar, the caption of the act gives notice that the purpose of the proposed enactment was to add a new article, define the offense, fix a penalty, provide for subsequent convictions, and for a conviction for desertion by leaving the state.",Facts,Others,False
"The court in his charge submitted such defense, but refused appellant's request that the jury be instructed that in determining the existence of real or apparent danger it was the duty of the jury to ""consider the words, acts and conduct, if any, of the injured party, at the time of and prior to the time of the assault and consider whatever threats, if any, the injured party may have made to the defendant * *",Facts,Analysis,False
The rule relating to the introduction of photographs of the body of the deceased which may be inflammatory has been stated and applied in a number of rather recent decisions.,Rule/Law/Holding,Others,False
"The witness Nichols, who was a member of the Highway Patrol on the day in question, testified that, while on duty at approximately 8:00 P.M. he had occasion to stop an automobile and was talking to the driver thereof when he noticed an automobile approaching them; that it crossed over the center line headed in the direction of where he and the other driver were standing; that they ran for the ditch to avoid being hit; and that, after the moving automobile passed, he re-entered his patrol car and gave chase.",Facts,Others,False
We shall discuss the contentions urged by appellant in his brief and in oral argument.,Others,Facts,False
"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Analysis,Facts,False
We are aware of no authority supporting this claim of error and are cited to none.,Others,Rule/Law/Holding,False
Such order of appointment of the grand jury commissioners was in compliance with the statute.,Analysis,Facts,False
I hope this note gets in the right hands.,Others,Facts,False
"While it is true that the question of a mortgage was never discussed by the parties in open court, it seems very unlikely that any party would contemplate transferring over an interest in realty without an adequate security interest.",Analysis,Others,False
"""So long as the statute remains available to the State the threat of prosecutions of protected expression is a real and substantial one.",Analysis,Facts,False
We find the evidence sufficient to sustain the conviction and overrule appellant's contention that there was a fatal variance between the allegation and proof of embezzlement and that under the evidence appellant could not be guilty of embezzlement of the mohair but only guilty of embezzlement of the money derived from the sale thereof.,Conclusion,Facts,False
The presumption is that the trial judge ruled correctly when he declined to order a mistrial during the closing argument.,Analysis,Others,False
"By brief and oral argument, appellant’s very able counsel urges his contentions.",Facts,Others,False
"You would have to look in the jacket, is that correct?",Facts,Others,False
"A litigant is not permitted during a trial on the merits to remain silent as to affirmative defenses known to him, and then when an adverse result is reached, on motion for new trial complain because of his own neglect.",Rule/Law/Holding,Facts,False
"During this time, Brundrett threatened to kill Jobe if he reached for a gun.",Facts,Others,False
"We find no error in the instruction given by the court that would warrant a reversal under the provisions of Art. 666, V.A.C.C.P.",Conclusion,Facts,False
A similar contention was before this Court in Hildebrand v.,Facts,Others,False
Opinion approved by the Court.,Others,Facts,False
"Sentence was pronounced on January 7, 1960, but its execution was suspended and he was granted probation.",Facts,Others,False
Objections were made regarding the testimony concerning certain medicine and drugs given to the complaining witness.,Facts,Others,False
