Sentence,Label,Predicted,Correct
The motion for new trial is but a pleading and as such must be supported by proof.,Rule/Law/Holding,Facts,False
We are aware of no authority supporting this claim of error and are cited to none.,Others,Facts,False
"Appellant's last contention is that the court committed reversible error during the state's examination of the prosecuting witness, J. W. Donnell, with reference to his ownership and possession of the 4,000-acre tract when, upon objection being made by appellant, the court stated: ""Well, I believe it is general knowledge that he does have possession of it.""",Issue,Facts,False
"The offense is assault with intent to murder with malice; the punishment, 8 years.",Conclusion,Facts,False
"Under this record, we are of the opinion that the incorrect statements made by the various jurors in their discussions and the subsequent vote on the part of some of the jurors to increase the penalty constituted misconduct to the extent that this appellant has not received a fair and impartial trial.",Conclusion,Facts,False
Opinion approved by the Court.,Others,Facts,False
We overrule appellant’s contention that “proper predicate has not been laid.”,Conclusion,Facts,False
which provides that the failure of the defendant to testify shall not be alluded to or commented upon by counsel in the cause.,Rule/Law/Holding,Facts,False
"State, 320 S.W. 2d 139, holds ""the exercise of discretion is measured by the time the jury have been kept together, considered in the light of the nature of the case and the evidence.""",Rule/Law/Holding,Facts,False
We think the chain of custody of the wine in question was,Others,Facts,False
"The court in his charge submitted such defense, but refused appellant's request that the jury be instructed that in determining the existence of real or apparent danger it was the duty of the jury to ""consider the words, acts and conduct, if any, of the injured party, at the time of and prior to the time of the assault and consider whatever threats, if any, the injured party may have made to the defendant * *",Facts,Others,False
"We are cited no authority on this question and are ""˜aware of none.",Others,Facts,False
This court held that the state could cross-examine him as to the mode and manner of committing the offense.,Rule/Law/Holding,Facts,False
Such a holding in nowise affects the validity of Subdivision (b) or any of the other civil provisions of the Election Code.,Analysis,Facts,False
"E. Bailey, that the Defendant before he was arrested told him that there was no one in the car with him at the time of the collision and that M.",Facts,Others,False
"The proceedings appear to be regular, and the judgment is affirmed.",Conclusion,Facts,False
The sole question presented us for review is the propriety of the trial judge's action in denying bail or recognizance pending the appeal from the trial court's order revoking probation.,Issue,Facts,False
"We held that the answer was in response to the question, probably invited, and in explanation of his attitude toward accused.",Analysis,Facts,False
The legislature determined that a similar rationale did not exist for intentional wrong doing by government employees.,Analysis,Facts,False
"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Analysis,Facts,False
We shall discuss the contentions urged by appellant in his brief and in oral argument.,Others,Facts,False
Citing authorities.,Others,Facts,False
"35 of our Constitution, which says, in substance, that no bill, with certain exceptions (being general appropriations bills) shall contain more than one subject, which shall be expressed in its title.",Rule/Law/Holding,Facts,False
"For the reason stated, the judgment is reversed and the prosecution ordered dismissed.",Conclusion,Facts,False
Appellant relies upon Rotner v.,Analysis,Facts,False
"Our prior opinion is withdrawn, and this one is adopted in lieu thereof.",Conclusion,Facts,False
The trial court erred in sustaining the state's objection and in excluding the proffered testimony.,Conclusion,Facts,False
"She stated that the boys ""grabbed"" her; that ""they were all around;"" that Daniel Ramerez grabbed and pulled her to ""the room,"" and that the boys started tearing her slacks and panties.",Facts,Others,False
This review is limited to determining whether the trial judge abused his discretion in revoking probation.,Issue,Facts,False
"""Mr. Friloux: Your Honor, I don't think that is a proper question.",Others,Facts,False
"State, supra, on motion for rehearing, after reviewing our decisions and the Federal Decisions we overruled a similar contention but made it plain that by such holding we did not condone any arbitrary disregard of the Constitutional mandate which imposes upon women as a class the inescapable duty of jury service.",Analysis,Rule/Law/Holding,False
And further contends that if he did convert said automobile the evidence fails to show that it occurred in El Paso County.,Issue,Facts,False
", The .fact that, the shoes which appellant said he owned were produced and turned over to the .sheriff did not conduce to establish his guilt in the commission of the burglary.",Analysis,Facts,False
Opinion approved by the Court.,Others,Facts,False
"Scire facias, the citation, was issued and served on the sureties pursuant to the judgment nisi entered in Criminal District Court No. 2 of Tarrant County.",Rule/Law/Holding,Facts,False
"She stated that they left her place of employment in a convertible automobile and drove to another address in Houston, where they were joined by one Regina Landig and, as they were driving away, appellant, whom she did not know, jumped in the front seat, pushed Honey Bee over on her, took the wheel, and, in spite of her pleas to be returned to her place of employment,",Facts,Others,False
A suit filed under the Claims Act is a very narrow and limited area for relief.,Rule/Law/Holding,Facts,False
Appellant next insists that the court erred in admitting evidence of certain extraneous offenses concerning appellant which were not admissible to serve any pertinent issue in the case.,Issue,Facts,False
"There is a statement of facts with this record containing the jury argument of counsel, which will be more fully discussed hereafter.",Others,Facts,False
"""GENTLEMENS OF THE JURY:",Others,Facts,False
"The court in his charge followed the terms of Article 1177a, supra, and the indictment, and we find no merit in appellant's contention that the court erred in failing to give his requested charges.",Conclusion,Others,False
We do not agree with this contention.,Conclusion,Facts,False
"Without a further description, the accused was not put on notice as to what he was alleged to have taken by force.",Analysis,Facts,False
"""Nor need the State aver in expressed terms that the act charged was ""˜unlawfully' done where the facts alleged clearly show it to be unlawful.""",Rule/Law/Holding,Facts,False
We hold this evidence was admissible to show that the appellant had a motive for killing Farris.,Conclusion,Facts,False
"There appears no reasonable and substantial classification of persons which justifies the imposition of a $25.00 fine upon peddlers, salesmen, and solicitors and a $200 fine upon all other persons for the same act.",Analysis,Facts,False
"To raise the issue that the appellant as surety did not sign the bond, the answer must contain an affirmative verified plea of non est factum.",Rule/Law/Holding,Facts,False
What was he catching ahold of down there?,Others,Facts,False
We have examined the record with care and fail to find any undisputed evidence which would render the confession inadmissible as a matter of law.,Analysis,Facts,False
"See 67 Corpus Juris Secundum, page 89, and cases annotated.",Rule/Law/Holding,Facts,False
The evidence is sufficient to support the conviction of the appellant as charged.,Conclusion,Facts,False
"""* * * * jn instances in which there are two district courts, each having criminal jurisdiction, situated in the same county, and the legislative provision authorizing the transfer of cases from one to the other, it is too late on appeal to complain, as is done in the present case, that the trial is upon an indictment filed in one of the courts and the trial is had in the other.",Rule/Law/Holding,Others,False
The jury found appellant sane on both issues of insanity and found him guilty as charged in the indictment and assessed his punishment at death.,Conclusion,Issue,False
"For the reasons stated, the judgment is reversed and the cause is remanded.",Conclusion,Facts,False
"Finding the evidence sufficient to sustain the conviction and no reversible error appearing, the judgment is affirmed.",Conclusion,Facts,False
"There Bill of Exception No. 2 complained that Knox, one of the arresting officers, was permitted to testify that he asked the defendant Garland if he had anything to drink, and Garland replied: ""I have had a few social drinks.""",Facts,Others,False
"We are unable to conclude that the pictures were not admissible as shedding light upon those issues.""",Analysis,Facts,False
"In the transaction appellant and his companions used a Gulf Company Credit Card which had been issued to Lewter Feed Lots Company of Lubbock from which an invoice for the purchase was made and the name ""Joe Trussell"" was signed thereto by appellant.",Facts,Issue,False
The sole contention presented on appeal is that the court erred in failing to charge on the law of circumstantial evidence.,Issue,Facts,False
We find no statement,Conclusion,Facts,False
