Label,Predicted,Count
Facts,Others,67
Analysis,Facts,58
Conclusion,Facts,35
Rule/Law/Holding,Facts,22
Others,Facts,19
Facts,Issue,17
Facts,Analysis,16
Issue,Facts,16
Analysis,Rule/Law/Holding,14
Analysis,Others,8
Facts,Rule/Law/Holding,7
Others,Issue,7
Conclusion,Rule/Law/Holding,7
Conclusion,Analysis,6
Analysis,Conclusion,4
Analysis,Issue,4
Issue,Others,3
Others,Rule/Law/Holding,3
Rule/Law/Holding,Others,3
Issue,Analysis,2
Others,Analysis,2
Conclusion,Issue,2
Facts,Conclusion,1
Issue,Rule/Law/Holding,1
Others,Conclusion,1
Conclusion,Others,1
Rule/Law/Holding,Conclusion,1
Rule/Law/Holding,Issue,1
