Sentence,Label,Predicted,Correct
"We held that the answer was in response to the question, probably invited, and in explanation of his attitude toward accused.",Analysis,Issue,False
Vacated and remanded.,Conclusion,Facts,False
The objections to the charge are that it shifts the burden of proof to the appellant; that it fails to charge the law of reason,Facts,Rule/Law/Holding,False
1 and 3 recite that they were made in rebuttal to argument of the defense attorneys.,Facts,Others,False
The rule relating to the introduction of photographs of the body of the deceased which may be inflammatory has been stated and applied in a number of rather recent decisions.,Rule/Law/Holding,Issue,False
This Court held that failure to copy such words in the indictment did not create a variance.,Rule/Law/Holding,Issue,False
"The offense is the possession of whisky, vodka, gin and beer in a dry area for the purpose of sale; the punishment, a fine of $400.00.",Facts,Others,False
"Appellant insists that the evidence is insufficient to sustain the conviction because it was not shown that he induced, enticed or encouraged the minor to go to the place where intoxicating liquor was sold as alleged in the information.",Issue,Facts,False
"The Court finds that the intent of the Legislature was to include Guam Memorial Hospital within the statutory scheme of that act.""",Analysis,Rule/Law/Holding,False
"The owner of an Iron Works Company testified that on March 1, 1961, he bought seven grease traps from appellant who delivered them to his company.",Facts,Others,False
"The governor's executive warrant recites that it has been made known to him by the governor of the State of Louisiana that appellant ""having been tried, convicted and sentenced for the crime of criminal neglect of family, has violated his probation committed in said State and that said defendant has taken refuge in the State of Texas * * * .""",Facts,Others,False
The only dispute on any material issue was whether the appellant was driving his automobile at the time and place in question.,Issue,Facts,False
"State, 320 S.W. 2d 139, holds ""the exercise of discretion is measured by the time the jury have been kept together, considered in the light of the nature of the case and the evidence.""",Rule/Law/Holding,Facts,False
"In the normal course of business dealings, a mortgage or some similar security interest would be expected, and it is the opinion of this Court that granting a mortgage in favor of the defendants would do less violence to the intention of the parties, while at the same time protecting defendant's equitable interests in the property which it was conveying.",Analysis,Issue,False
"Under such record, no reversible error is shown.",Conclusion,Facts,False
"It was further alleged that several jurors then brought up the Selby murder case, about which they had read in the newspapers, to the effect that Selby was given life ""” which meant that he would serve only seven or eight years; that, after several hours of this type argument and the receipt of other testimony about the Selby case and other cases, it was this argument about what ""life"" meant that finally brought the ten jurors from a suspended sentence, or a short term, up to a life sentence.",Facts,Conclusion,False
The amended statute was in effect on the date the indictment alleged the second conviction was had.,Facts,Rule/Law/Holding,False
"Mrs. Williams testified that he had a seizure a week before the trial; that about a month before the trial, and again three weeks later he cut his wrists; that he had been having epileptic seizures two years; that the last one was in the doctor's office and lasted 10 or 15 minutes; that he became unconscious when he had such seizures.",Facts,Issue,False
"The trial court refused to allow appellant to make such recognizance and ordered him confined to jail, pending his appeal from the revocation order entered by the court.",Facts,Conclusion,False
"He testified that, ""I am in charge of all three offices and the personnel, and the vehicles that we operate here in this area.""",Facts,Rule/Law/Holding,False
What was he catching ahold of down there?,Others,Facts,False
"The indictment in the instant case clearly alleges that appellant attempted to procure the female by ""means of offering her money"".",Facts,Others,False
"In view of our disposition of this case, we find it unnecessary to express an opinion upon the argument complained of by state's counsel.",Analysis,Facts,False
It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis,Facts,False
"By brief and oral argument, appellant’s very able counsel urges his contentions.",Facts,Conclusion,False
"No objections were made to the court's charge, and no requested charges were presented.",Facts,Conclusion,False
"However, the record does not show that the appellant was prejudiced by the service of the next juror on the list.",Facts,Others,False
Appelland and his wife testified that it was Hight and not appellant who lost his temper and was the aggressor throughout.,Facts,Others,False
"Appellant testified that Butler stopped him and asked him for a pint of whisky, and he told him he did not sell whisky and had none.",Facts,Others,False
"During the time of appellant's negotiations with Gee, appellant was indebted to the company.",Facts,Others,False
There is no showing that anyone other than the officers ever had the wine in custody.,Facts,Others,False
"The Government of Guam must use the least restrictive means that would accomplish the legislative purpose of Bill 754 (15th Guam Legislature, 1979 First Regular Session).",Facts,Others,False
"The offense is assault with intent to murder with malice; the punishment, 5 years.",Facts,Others,False
We overrule appellant's remaining contention that the court erred in failing to charge the jury on the law of entrapment.,Conclusion,Facts,False
"In the case at bar, the person of appellant was not searched and so the rule announced in Giacona has no application.",Analysis,Others,False
"The information alleges that, in exchange for $7 cash, the appellant, with fraudulent intent, gave the injured party a $17 check drawn on his bank account knowing at the time that he had insufficient funds in the account to pay the check and that the check was returned unpaid for that reason.",Facts,Analysis,False
Its purpose was clearly restricted to “further defining the offense of an attempt to commit arson.”,Analysis,Others,False
"When the appellant denied that he had, an officer was then allowed to testify, over objection that the offenses inquired about did not involve moral turpitude, that he had arrested appellant or had been in company with others who arrested appellant on three or four occasions, and that he had pleaded guilty to vagrancy under an assumed name.",Facts,Issue,False
The appellant and Brundrett took $8 in money from Jobe's billfold and about $150 from the cash register and safe.,Facts,Others,False
Opinion approved by the Court.,Others,Facts,False
The proof shows that said check was presented in the due course of business to the named bank and was returned unpaid because the account was closed at all times here in question.,Facts,Conclusion,False
"She stated that the boys ""grabbed"" her; that ""they were all around;"" that Daniel Ramerez grabbed and pulled her to ""the room,"" and that the boys started tearing her slacks and panties.",Facts,Others,False
"Virginia told him that Hadley wanted another girl to come up, and appellant ""said he would have another one right up there"".",Facts,Others,False
