Sentence,Label,Predicted,Correct
The evidence is deemed sufficient to sustain the allegations of the complaint and information.,Conclusion,Facts,False
"It is the general rule that where the criminal intent originates in the mind of an accused, the fact that the officers furnish the opportunity for or aid the accused in the commission of a crime constitutes no defense to such a prosecution.",Rule/Law/Holding,Facts,False
"“by inviting and encouraging and inducing him to go to a place in Harris County, Texas, said place being a place where intoxicating liquors were sold, and to partake of said intoxicating liquors by then and there buying for and giving to the said Edward Sandels said intoxicating liquors.”",Facts,Others,False
"The jury resolved the conflict in the evidence against appellant, and we find it sufficient to support the conviction.",Analysis,Facts,False
"E. Bailey, that the Defendant before he was arrested told him that there was no one in the car with him at the time of the collision and that M.",Facts,Others,False
"On July 8, 1960, order was entered revoking said probation upon the finding by the court that appellant ""has violated the terms of his adult probation heretofore accorded him, in that he has",Facts,Others,False
"The offense is unlawfully carrying a pistol; the punishment, 180 days in jail.",Conclusion,Facts,False
The legislature determined that a similar rationale did not exist for intentional wrong doing by government employees.,Analysis,Facts,False
The motion for new trial is but a pleading and as such must be supported by proof.,Rule/Law/Holding,Facts,False
"We held in the' last cited case that proof that the defendant owned the truck involved in an accident was not evidence of an incriminating character which tended to connect him with the commission of the offense of failing to stop and render aid, and was insufficient to corroborate the testimony of an accomplice witness who testified he was the driver.",Rule/Law/Holding,Facts,False
This review is limited to determining whether the trial judge abused his discretion in revoking probation.,Issue,Facts,False
The trial court erred in sustaining the state's objection and in excluding the proffered testimony.,Conclusion,Facts,False
I hope this note gets in the right hands.,Others,Facts,False
None of the sentences were cumulated.,Others,Facts,False
"Finding the evidence sufficient and no reversible error appearing, the judgment of the trial court is affirmed.",Conclusion,Facts,False
Appellant contends that the court erred in not permitting his counsel to ask Mrs. Williams whether or not she had an opinion as to whether appellant knew the difference between right and wrong.,Issue,Facts,False
"I came back through and asked her again to get up and she said, ""˜No, I am still sick.' I asked her if she wanted anything, and she said, ""˜No.' I went out there and it started getting dark and we couldn't see to play dominoes, so I come in the house and her feet was on the other side of the bed and she was about halfway under the bed and I pulled my shirt off and told her, I said, ""˜Well, I might as well go to bed, you are no company to me today,' I said, T might as well go to bed and forget about enjoying your company,' and she didn't say, she didn't answer me, so I reached down in the ice box, got me a glass of water and ate a bite of celery and some beans and stood there nibbling on some cheese and shut the box and turned around to her and said, ""˜Get up, now, let's get in bed,' and she didn't answer, * * * .""",Facts,Others,False
"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Analysis,Facts,False
"In view of our disposition of this appeal, a statement of the facts will not be deemed necessary other than to state that formal Bill of Exception No. 2 recites that during the cross-examination of the prosecuting witness appellant developed that the witness had previously made a written statement to the police and district attorney concerning the offense on trial.",Analysis,Facts,False
This court held that the state could cross-examine him as to the mode and manner of committing the offense.,Rule/Law/Holding,Facts,False
"We do not deem it necessary to review the holding of this Court in Ex Parte Jonischkies, 88 Texas Cr.",Analysis,Facts,False
"The court in his charge submitted such defense, but refused appellant's request that the jury be instructed that in determining the existence of real or apparent danger it was the duty of the jury to ""consider the words, acts and conduct, if any, of the injured party, at the time of and prior to the time of the assault and consider whatever threats, if any, the injured party may have made to the defendant * *",Facts,Others,False
"While the record reflects that prior to the extradition proceedings a petition had been filed in the 142nd District Court of Midland County against appellant under the Uniform Support Act, there is no showing that appellant had submitted to the jurisdiction of the court and complied with any order of support.",Facts,Others,False
The state insists that the statement was admissible in evidence as a part of the res gestae.,Analysis,Facts,False
"""Dear neighbor: This may be a peculiar way of doing things but then we live in peculiar times, don't we.",Others,Facts,False
"The testimony of Officer Seale, of the city of Houston, shows that in response to a radio dispatch about 6:30 A.M., regarding a suspicious appearing parked automobile, he found the appellant seated in the automobile on a public street; and that the appellant told him that he was watching a nearby house in an effort to see a man from whom he had purchased a truck, and that ""he was out there to get his truck one way or another"".",Facts,Others,False
Such a holding in nowise affects the validity of Subdivision (b) or any of the other civil provisions of the Election Code.,Analysis,Facts,False
"While there appears to be a conflict in consistency between the Claims Act and the Civil Procedure Code regarding jury trial, it does not appear so repugnant an inconsistency that the two provisions cannot stand together.",Analysis,Facts,False
"Did he point out any clothes to you?""",Others,Facts,False
"We are cited no authority on this question and are ""˜aware of none.",Others,Facts,False
"It is next contended that the evidence fails to show that the solicitation was made without the consent of the prosecuting witness, as charged in the indictment.",Issue,Facts,False
"She stated that they left her place of employment in a convertible automobile and drove to another address in Houston, where they were joined by one Regina Landig and, as they were driving away, appellant, whom she did not know, jumped in the front seat, pushed Honey Bee over on her, took the wheel, and, in spite of her pleas to be returned to her place of employment,",Facts,Others,False
The sole contention presented on appeal is that the court erred in failing to charge on the law of circumstantial evidence.,Issue,Facts,False
In submitting the issue of appellant's guilt to the jury the court instructed as follows:,Others,Facts,False
"I concur in the affirmance of this conviction which upholds the constitutionality of Article 1404b, V.A.P.C.",Conclusion,Facts,False
"""The court further finds that the court was fraudulently misled and caused to recess the court prior to the time for the usual recess on the direct application and request of the said defense attorney Jack Mackin, and that the court was misled by the said Mackin to the extent that the said Kitchens had no intent to enter a plea of guilty, and no agreement having been made, as reported by counsel for the state and the defendant at 1:15 P.M.; and said defense attorney Jack Mackin having directly requested and insisted to the court that the court not cause the defendant to plead to the indictment prior to the conference between the said Jack Mackin and the district attorney and the defendant, full knowing that the bondsmen of the defendant had at that time been stricken from the approved bond list of Tarrant County, Texas, due to large sums in other judgments nisi now pending against them, one of the said bondsmen being the partner of said Jack Mackin; and that the said Jack Mackin went to the office of the district attorney at the time of recess and discussed for a matter of moments the possibility of a nominal sentence, and the defendant Kitchens never appeared for said conference, and repaired immediately to his automobile and drove away; that the said Jack Mackin at no time offered any explanation of the absence of the said Kitchens at the time of or immediately after the reconvening of the court at 1:15 P.M.",Facts,Analysis,False
"It was brought out on cross-examination that appellant told Johnson in the conversation that before he shot the deceased, the deceased had fired two shots at appellant with a gun.",Facts,Others,False
"Appellant further contends that the court erred in overruling his motion to quash the indictment on the ground that the alleged prior conviction for unlawfully acquiring marihuana without having paid the transfer tax, being for a violation of a federal regulatory statute, could not be used, under Art. 68, supra, to enhance a conviction for violation of the act. Art. 725b, supra, a prohibitory statute.",Issue,Rule/Law/Holding,False
"He went to the barn to see the calf and on finding it already marked, he cut the ends of the calf's ears off which was his mark.",Facts,Others,False
The rule relating to the introduction of photographs of the body of the deceased which may be inflammatory has been stated and applied in a number of rather recent decisions.,Rule/Law/Holding,Facts,False
"We think that appellant's contention that the evidence is insufficient to corroborate the testimony of the two accomplices, Nations and Matthews, has merit.",Analysis,Facts,False
The principal was charged by complaint in the justice court with robbery and required to give bond in the sum of $2500 for his appearance in the Criminal District Court of Tarrant County.,Facts,Others,False
It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis,Facts,False
"The offense is attempting to pass as true a forged instrument; the punishment, two years.",Conclusion,Facts,False
"Acts done, statements and appearance of the participants, and other similar circumstances are all admissible as part of the res gestae when a witness narrates the events surrounding an offense.",Rule/Law/Holding,Facts,False
"There is nothing in the record showing that a brief has been filed in this Court, as required by the Rules of Civil Procedure.",Analysis,Facts,False
"Nothing at all to connect those up and no proper predicate laid.""",Analysis,Facts,False
"When asked whom Mrs. Peveto struck Officer Hudson replied: ""She said he hit her and he (appellant) said she hit him.""",Facts,Issue,False
"Our prior opinion dismissing' this appeal is withdrawn, along with the opinion on motion for rehearing, and the appeal is reinstated and is disposed of by this opinion.",Conclusion,Others,False
The jury are the exclusive judges of the credibility of the witnesses and the weight to be given to their testimony.,Analysis,Facts,False
The jury found appellant sane on both issues of insanity and found him guilty as charged in the indictment and assessed his punishment at death.,Conclusion,Facts,False
Appellant reurges certain points of error that were answered in our original opinion and we do not deem it necessary to discuss them further.,Analysis,Conclusion,False
The evidence would appear to be admissible.,Analysis,Facts,False
The evidence is sufficient to support the conviction of the appellant as charged.,Conclusion,Facts,False
The jury accepted the State's theory of the case and rejected that of appellant and we find the evidence sufficient to sustain their verdict.,Conclusion,Facts,False
"The Court finds that the intent of the Legislature was to include Guam Memorial Hospital within the statutory scheme of that act.""",Analysis,Facts,False
"First, we have determined that the defendants-appellants may prosecute this appeal independently of any partnership agreement which it might have with other defendants.",Analysis,Facts,False
"While it is true that the question of a mortgage was never discussed by the parties in open court, it seems very unlikely that any party would contemplate transferring over an interest in realty without an adequate security interest.",Analysis,Facts,False
"For the reasons stated, the judgment is reversed and the cause is remanded.",Conclusion,Facts,False
"In view of our disposition of this case, we find it unnecessary to express an opinion upon the argument complained of by state's counsel.",Analysis,Facts,False
The jury accepted the state's version of the facts and the evidence sustains its verdict.,Analysis,Facts,False
"State, supra, on motion for rehearing, after reviewing our decisions and the Federal Decisions we overruled a similar contention but made it plain that by such holding we did not condone any arbitrary disregard of the Constitutional mandate which imposes upon women as a class the inescapable duty of jury service.",Analysis,Rule/Law/Holding,False
"The court in his charge followed the terms of Article 1177a, supra, and the indictment, and we find no merit in appellant's contention that the court erred in failing to give his requested charges.",Conclusion,Others,False
"In the face of this record, there is no showing that the arguments complained of resulted in any injury or prejudice to the rights of the appellant.",Analysis,Facts,False
We overrule appellant’s contention that “proper predicate has not been laid.”,Conclusion,Facts,False
Appellant relies upon Rotner v.,Analysis,Facts,False
"Under the record, we remain convinced that the issue of appellant’s execution of the bond was not raised by a proper plea of non est factum and that the court did not err in overruling the motion for new trial on such ground.",Analysis,Facts,False
"The operator of a nightwatching service in the city passed through this same side street shortly before midnight, or thereafter, and observed appellant standing by the side of a 1956 black Oldsmobile bearing license number RF 9234 and observed appellant's co-principal Joan Brock seated therein.",Facts,Others,False
"Finding the evidence sufficient to support the conviction and no reversible error appearing, the judgment is affirmed.",Conclusion,Facts,False
The evidence showing such financial condition of the company was admissible on the question of appellant's intent and motive in committing either the offense of theft or embezzlement of the mohair as charged in counts 5 and 8 of the indictment and which were submitted to the jury.,Analysis,Facts,False
"Its only possible use, apparent to us, is to inflict injury and is the type that would be fabricated and carried by one planning to engage in an assault upon another person.",Analysis,Others,False
The judgment is affirmed.,Conclusion,Facts,False
We have considered the informal bills of exception contained in the statement of facts and find no reversible error therein.,Conclusion,Facts,False
"""I cannot try this case to please these attorneys, Mr. Tucker and Mr. Cain, or any other defense attorneys.""",Others,Facts,False
"Under this record, we are of the opinion that the incorrect statements made by the various jurors in their discussions and the subsequent vote on the part of some of the jurors to increase the penalty constituted misconduct to the extent that this appellant has not received a fair and impartial trial.",Conclusion,Facts,False
"In Bill No. 4, no certification is made that the argument set forth therein was not supported by the evidence, hence it cannot be appraised because no statement of facts accompanies the record.",Analysis,Facts,False
"In such cases, the accused became a de facto officer because his appointment was defective for some reason.",Rule/Law/Holding,Facts,False
"Upon being advised of the collision, Officer Edgar L. Smith, Jr., and his partner proceeded to the scene around 12:15 A.M. When they arrived, appellant was seated on the front seat of one of the automobiles on the passenger's side.",Facts,Others,False
The testimony then continued as follows:,Others,Facts,False
"""It is provable that one accused of drunken driving had a collision on the highway with an automobile driven by another person, on the ground that the manner in which accused",Facts,Analysis,False
"Agent Bland, they went to the home of Edward Tafolla, who was at the time acting as a special employee of the Bureau of Narcotics and the San Antonio police, searched him, gave him $10.00, and carried him to a point in the city where they parked the government automobile in which they were traveling.",Facts,Others,False
"The deceased's wife, who was present, upon hearing the shot observed a gun in the appellant's hand and identified appellant the next day at a police lineup as the one who shot her husband.",Facts,Others,False
The judgment rendered in effect upheld appellant's contention that he was entitled to acquittal if not found guilty of aggravated assault.,Conclusion,Facts,False
The answer urging invalidity of the bond for the various reasons assigned did not constitute a plea of non est factum.,Analysis,Facts,False
"Having concluded that the court erred in issuing the writ of procedendo, it naturally follows that jurisdiction is still in the County Court at Law No. 2 and the Justice Court had no authority to issue the capias pro fine.",Analysis,Facts,False
Appellant's contention is overruled and is without merit.,Conclusion,Facts,False
"Appellant contends that since his acts did not result in death, and because of his age, we should reverse the case because the punishment is excessive.",Issue,Facts,False
"The proceedings appear to be regular, and the judgment is affirmed.",Conclusion,Facts,False
"""* * * * jn instances in which there are two district courts, each having criminal jurisdiction, situated in the same county, and the legislative provision authorizing the transfer of cases from one to the other, it is too late on appeal to complain, as is done in the present case, that the trial is upon an indictment filed in one of the courts and the trial is had in the other.",Rule/Law/Holding,Others,False
Any claims of error for want of proper service became a nullity when the surities appeared in person and by counsel in open court upon the call of this cause and announced ready for.,Analysis,Facts,False
We are aware of no authority supporting this claim of error and are cited to none.,Others,Facts,False
"Therefore, the deletion of reference to the Claims Act would have been meaningless unless, as plaintiff argues, it eliminated any need to resort to the procedures of the Claims Act when suit is filed against GMH.",Analysis,Facts,False
Such order of appointment of the grand jury commissioners was in compliance with the statute.,Analysis,Facts,False
No variance is presented.,Others,Facts,False
"We have concluded that they do not, and a reversal of the conviction is necessarily called for.",Conclusion,Facts,False
He attributed the manner of his driving to the condition of the highway and of his automobile and admitted that he had urinated inside the court house but stated that he did so because the officers would not give him permission to go to the rest room.,Facts,Analysis,False
A suit filed under the Claims Act is a very narrow and limited area for relief.,Rule/Law/Holding,Facts,False
"The court excused said juror and gave the appellant further opportunity to exercise his challenges on the jury list, which he refused to do, after which the next juror on the list was taken.",Facts,Others,False
"35 of our Constitution, which says, in substance, that no bill, with certain exceptions (being general appropriations bills) shall contain more than one subject, which shall be expressed in its title.",Rule/Law/Holding,Facts,False
"It is noted, however, that, as heretofore shown, the order in the instant case transferring the cause to Criminal District Court No. 4 does recite that it was with permission of the court.",Analysis,Others,False
