Sentence,Label,Predicted,Correct
The burden was upon the state to prove that the letter was written and sent.,Analysis,Rule/Law/Holding,False
The judgment rendered in effect upheld appellant's contention that he was entitled to acquittal if not found guilty of aggravated assault.,Conclusion,Others,False
"pen"" and that a life sentence, with good behavior, would mean seven or eight years; that they, the jurors, then arrived at a verdict of life imprisonment.",Facts,Others,False
"He further testified that any individual having a concentration of alcohol in excess of .15 percent would be intoxicated, and that this had been lowered to .10 percent by more recent study and tests.",Facts,Others,False
"The conviction is for driving while intoxicated; the punishment, 3 days in jail and a fine of $50.",Facts,Others,False
The convictions are for the misdemeanor offense of unlawful assembly under Arts.,Conclusion,Others,False
"The Government of Guam must use the least restrictive means that would accomplish the legislative purpose of Bill 754 (15th Guam Legislature, 1979 First Regular Session).",Facts,Rule/Law/Holding,False
We have searched this record with care and have been unable to find the evidence to support the conclusion expressed in the State's brief that appellant was seen unloading the still pot.,Analysis,Others,False
He presents this matter by an informal bill of exception and contends that the jury had already seen the seat covers and the court's instruction to disregard them could not cure the error.,Issue,Others,False
"Our prior opinion is withdrawn, and this one is adopted in lieu thereof.",Conclusion,Others,False
"The evidence admitted without objection shows that appellant conversed freely with the officers; stated that he had ""had a little at his job"", when asked if he had been drinking; and when asked about the sign on the hood of his car, answered ""What sign?""",Facts,Others,False
"There Bill of Exception No. 2 complained that Knox, one of the arresting officers, was permitted to testify that he asked the defendant Garland if he had anything to drink, and Garland replied: ""I have had a few social drinks.""",Facts,Rule/Law/Holding,False
"After continuing to drive, Agent Sherman ""” upon appellant's instructions ""” stopped the car and ""honked"" the horn.",Facts,Others,False
"You would have to look in the jacket, is that correct?",Facts,Others,False
He stated that each time after appellant had been on top of the girl he told him that he had had an act of intercourse with her.,Facts,Others,False
"The conviction is for murder without malice; the punishment, two years.",Facts,Others,False
"The conviction is for robbery with firearms; the punishment, thirty-five years.",Facts,Others,False
"The information alleges that, in exchange for $7 cash, the appellant, with fraudulent intent, gave the injured party a $17 check drawn on his bank account knowing at the time that he had insufficient funds in the account to pay the check and that the check was returned unpaid for that reason.",Facts,Others,False
"As to the case at bar, the caption of the act gives notice that the purpose of the proposed enactment was to add a new article, define the offense, fix a penalty, provide for subsequent convictions, and for a conviction for desertion by leaving the state.",Facts,Others,False
"The holding was that such testimony and argument offended the rule that whether warned or not, the silence of the defendant while under arrest cannot be used against him as a confession of the truth of statements made in his presence by his codefendants or anybody else.",Rule/Law/Holding,Others,False
"Appellant then directed Agent Sherman to drive to a ""cool"" place, by which he meant a secluded place.",Facts,Others,False
The motion for new trial is but a pleading and as such must be supported by proof.,Rule/Law/Holding,Others,False
"She stated that the boys ""grabbed"" her; that ""they were all around;"" that Daniel Ramerez grabbed and pulled her to ""the room,"" and that the boys started tearing her slacks and panties.",Facts,Others,False
"State, supra, on motion for rehearing, after reviewing our decisions and the Federal Decisions we overruled a similar contention but made it plain that by such holding we did not condone any arbitrary disregard of the Constitutional mandate which imposes upon women as a class the inescapable duty of jury service.",Analysis,Rule/Law/Holding,False
"He testified that, ""I am in charge of all three offices and the personnel, and the vehicles that we operate here in this area.""",Facts,Others,False
Appellant reurges certain points of error that were answered in our original opinion and we do not deem it necessary to discuss them further.,Analysis,Others,False
The presumption is that the trial judge ruled correctly when he declined to order a mistrial during the closing argument.,Analysis,Rule/Law/Holding,False
"This is demonstrated by the further fact that the prima facie rule regarding the possession of more than a quart of liquor in a dry area was given to the jury, and there was no reference made to the prima facie rule regarding possession of alcoholic beverages such as beer.",Facts,Others,False
"In the transaction appellant and his companions used a Gulf Company Credit Card which had been issued to Lewter Feed Lots Company of Lubbock from which an invoice for the purchase was made and the name ""Joe Trussell"" was signed thereto by appellant.",Facts,Others,False
We hold this evidence was admissible to show that the appellant had a motive for killing Farris.,Conclusion,Others,False
We find the evidence sufficient to sustain the conviction and overrule appellant's contention that there was a fatal variance between the allegation and proof of embezzlement and that under the evidence appellant could not be guilty of embezzlement of the mohair but only guilty of embezzlement of the money derived from the sale thereof.,Conclusion,Others,False
The conviction is for felony theft with a prior conviction for an offense of like character alleged for the purpose of enhancement,Facts,Others,False
"But appellant made no objection after the question was answered, and there is no showing as to why he chose to delay making his objection.",Analysis,Others,False
"In the case at bar, we feel that the relator carried the burden of overcoming the presumption that the recitals in the judgment were not only true but sufficient to sustain the trial court's action.",Analysis,Others,False
"They also noticed a plastic vial on top of the headboard of the bed, and, when the appellant reached for the vial, Officer Chavez quickly moved to him and took possession of the vial.",Facts,Others,False
The prior convictions were proved by certain prison records and comparison of finger prints in the manner which has been held sufficient by this Court.,Analysis,Facts,False
"Appellant further contends that the court erred in overruling his motion to quash the indictment on the ground that the alleged prior conviction for unlawfully acquiring marihuana without having paid the transfer tax, being for a violation of a federal regulatory statute, could not be used, under Art. 68, supra, to enhance a conviction for violation of the act. Art. 725b, supra, a prohibitory statute.",Issue,Rule/Law/Holding,False
"We are unable to conclude that the pictures were not admissible as shedding light upon those issues.""",Analysis,Others,False
Complaint is again made as to the service on appellant Martin.,Facts,Issue,False
The evidence shows a burglary of the house in question by someone.,Facts,Others,False
"Immediately after this was said by Farris, Landrum and the appellant paid a deposit on the bottles containing the beer which they were drinking and left Griffin's establishment.",Facts,Others,False
We also overrule the contention that an issue should have been submitted to the jury as to whether or not a conspiracy to commit the burglary and theft existed.,Conclusion,Others,False
The conduct inquired about on cross-examination must be inconsistent with the trait of character to which the witness had attested.,Analysis,Others,False
Such order of appointment of the grand jury commissioners was in compliance with the statute.,Analysis,Others,False
"While the record reflects that prior to the extradition proceedings a petition had been filed in the 142nd District Court of Midland County against appellant under the Uniform Support Act, there is no showing that appellant had submitted to the jurisdiction of the court and complied with any order of support.",Facts,Others,False
"The state's evidence shows that the injured party, Troy Fountain, was foreman on a bridge construction job for the Texas Highway Department in Brown County.",Facts,Others,False
The indictment appears to be sufficient and the trial court did not err in overruling appellant's motion to quash.,Conclusion,Others,False
"Finding the evidence sufficient to sustain the conviction and no reversible error appearing, the judgment is affirmed.",Conclusion,Others,False
Appellant's contention is overruled and is without merit.,Conclusion,Others,False
The principal was charged by complaint in the justice court with robbery and required to give bond in the sum of $2500 for his appearance in the Criminal District Court of Tarrant County.,Facts,Others,False
"In the absence of any showing of injury the error, if any, is not ground for reversal.",Analysis,Others,False
"She stated that they left her place of employment in a convertible automobile and drove to another address in Houston, where they were joined by one Regina Landig and, as they were driving away, appellant, whom she did not know, jumped in the front seat, pushed Honey Bee over on her, took the wheel, and, in spite of her pleas to be returned to her place of employment,",Facts,Others,False
