Sentence,Label,Predicted,Correct
Any claims of error for want of proper service became a nullity when the surities appeared in person and by counsel in open court upon the call of this cause and announced ready for.,Analysis,Facts,False
"In the recent case of Ex parte Knoll, 339 S.W. 2d 678, citing Ex parte Higgins, 338 S.W. 2d 717, in upholding the action of the governor of this state ordering the return of a relator to the demanding state after revocation of his probation in that state this court said:",Rule/Law/Holding,Issue,False
"We overrule the contention that the evidence is insufficient to sustain a finding by the jury that the appellant drove an automobile on a public highway at the time in question, and point out that the appellant's statement that he was the driver of the automobile involved in the collision was a res gestae statement as well as a statement in the nature of an oral confession.",Conclusion,Facts,False
"Under this record, we are of the opinion that the incorrect statements made by the various jurors in their discussions and the subsequent vote on the part of some of the jurors to increase the penalty constituted misconduct to the extent that this appellant has not received a fair and impartial trial.",Conclusion,Facts,False
The testimony then continued as follows:,Others,Facts,False
"It is next contended that the evidence fails to show that the solicitation was made without the consent of the prosecuting witness, as charged in the indictment.",Issue,Facts,False
"While it is true that the question of a mortgage was never discussed by the parties in open court, it seems very unlikely that any party would contemplate transferring over an interest in realty without an adequate security interest.",Analysis,Facts,False
"I came back through and asked her again to get up and she said, ""˜No, I am still sick.' I asked her if she wanted anything, and she said, ""˜No.' I went out there and it started getting dark and we couldn't see to play dominoes, so I come in the house and her feet was on the other side of the bed and she was about halfway under the bed and I pulled my shirt off and told her, I said, ""˜Well, I might as well go to bed, you are no company to me today,' I said, T might as well go to bed and forget about enjoying your company,' and she didn't say, she didn't answer me, so I reached down in the ice box, got me a glass of water and ate a bite of celery and some beans and stood there nibbling on some cheese and shut the box and turned around to her and said, ""˜Get up, now, let's get in bed,' and she didn't answer, * * * .""",Facts,Others,False
"Appellant insists that the evidence is insufficient to sustain the conviction because it was not shown that he induced, enticed or encouraged the minor to go to the place where intoxicating liquor was sold as alleged in the information.",Issue,Facts,False
The court's instruction was sufficient to cure any error therein.,Analysis,Conclusion,False
"It is concluded that the proof supports the allegation of ownership in Fred C. Edens, that ownership of the automobile was properly alleged in him and that there is no variance as the appellant contends.",Conclusion,Facts,False
We also overrule the contention that an issue should have been submitted to the jury as to whether or not a conspiracy to commit the burglary and theft existed.,Conclusion,Facts,False
We find the evidence sufficient to sustain the conviction and overrule appellant's contention that there was a fatal variance between the allegation and proof of embezzlement and that under the evidence appellant could not be guilty of embezzlement of the mohair but only guilty of embezzlement of the money derived from the sale thereof.,Conclusion,Facts,False
"It charged the existence of facts which, if sustained, show a violation of the law.",Rule/Law/Holding,Facts,False
"You would have to look in the jacket, is that correct?",Facts,Issue,False
The trial court was in error in holding that he was without authority to grant leave to file the motion for new trial or to grant such motion.,Conclusion,Rule/Law/Holding,False
With the exception of appellant's intent each essential element of the offense was proven by direct evidence.,Analysis,Facts,False
"Appellant failed to bring himself under the terms of Art. 666-23a (1), which makes it lawful to transport intoxicants from a place where the sale thereof is legal to a place where the possession thereof is legal.",Analysis,Facts,False
"Under the record, we remain convinced that the issue of appellant’s execution of the bond was not raised by a proper plea of non est factum and that the court did not err in overruling the motion for new trial on such ground.",Analysis,Facts,False
"We have examined the authorities cited, and it it apparent from the opinion in each of them that the person who made the attempted appointment which led the accused to believe he had authority to act was in fact a de jure officer.",Analysis,Facts,False
Appellant's requested instruction was insufficient to point out any error therein.,Analysis,Rule/Law/Holding,False
"The search warrant, if there was one, was not before the Court in Mapp.",Facts,Rule/Law/Holding,False
"""I cannot try this case to please these attorneys, Mr. Tucker and Mr. Cain, or any other defense attorneys.""",Others,Facts,False
“The omission from the caption of any notice of intention to change the penalty renders the amending act inoperative.”,Rule/Law/Holding,Facts,False
The evidence would appear to be admissible.,Analysis,Facts,False
"The record shows that prior to this testimony concerning the line-up Jackson himself had related, without objection, that",Facts,Others,False
"The admission in evidence of appellant's oral statement to the arresting officer while under arrest, which was in the nature of a confession, was error and calls for a reversal of the conviction.",Conclusion,Facts,False
"It is insisted that the trial court erred in admitting the evidence concerning appellant's attempt to bribe Officer Maddox, over his' objection that it was inflammatory and prejudicial.",Issue,Facts,False
