Label,Predicted,Count
Facts,Others,161
Analysis,Facts,36
Analysis,Others,32
Facts,Conclusion,30
Conclusion,Facts,28
Facts,Rule/Law/Holding,19
Facts,Issue,19
Others,Facts,18
Conclusion,Others,14
Issue,Facts,13
Rule/Law/Holding,Others,13
Rule/Law/Holding,Facts,12
Facts,Analysis,10
Analysis,Issue,10
Issue,Others,8
Rule/Law/Holding,Issue,7
Analysis,Conclusion,7
Analysis,Rule/Law/Holding,6
Conclusion,Rule/Law/Holding,5
Others,Issue,4
Issue,Conclusion,2
Others,Conclusion,2
Others,Rule/Law/Holding,2
Conclusion,Issue,1
Others,Analysis,1
Rule/Law/Holding,Conclusion,1
