Sentence,Label,Predicted,Correct
The burden was upon the state to prove that the letter was written and sent.,Analysis,Facts,False
"The trial court refused to allow appellant to make such recognizance and ordered him confined to jail, pending his appeal from the revocation order entered by the court.",Facts,Others,False
"In view of the fact that the evidence shows that appellant was seated behind the steering wheel of the automobile shortly after it collided with the bridge and no other occupants were shown to have been in the automobile, the evidence is sufficient to show that appellant was the driver thereof.",Analysis,Facts,False
"Appellant contends that since his acts did not result in death, and because of his age, we should reverse the case because the punishment is excessive.",Issue,Facts,False
"Scire facias, the citation, was issued and served on the sureties pursuant to the judgment nisi entered in Criminal District Court No. 2 of Tarrant County.",Rule/Law/Holding,Issue,False
"On September 16, 1960, application for revocation was filed, alleging that on said day he did make an assault on Charles Hight and also that he committed an aggravated assault upon Morgan Fuller, who was a constable in the lawful discharge of the duties of his office.",Facts,Rule/Law/Holding,False
"Its only possible use, apparent to us, is to inflict injury and is the type that would be fabricated and carried by one planning to engage in an assault upon another person.",Analysis,Facts,False
The evidence would appear to be admissible.,Analysis,Facts,False
"In the case at bar, the person of appellant was not searched and so the rule announced in Giacona has no application.",Analysis,Facts,False
We find no statement,Conclusion,Facts,False
The jury resolved the fact issues against the appellant.,Conclusion,Facts,False
A similar contention was before this Court in Hildebrand v.,Facts,Issue,False
The prior convictions alleged were proved and admitted.,Facts,Others,False
"While it is true that the arresting officer was the only witness for the state, his testimony needed no corroboration.",Analysis,Facts,False
"His speech was thick, and at times ' it was incoherent.",Facts,Others,False
"E. Evans by the male organ of the defendant must be proved beyond a reasonable doubt.""",Analysis,Others,False
"We are unable to agree that the evidence shows entrapment of appellant, as a matter of law, in commission of the offense.",Conclusion,Facts,False
We remain of the opinion that the evidence is sufficient to sustain the conviction.,Conclusion,Facts,False
We do not agree with this contention.,Conclusion,Facts,False
"to which question she replied: ""Vagrancy.""",Facts,Issue,False
Appellant predicates this appeal upon two formal bills of exception and several informal bills of exception.,Facts,Others,False
"Appellant's last contention is that the court committed reversible error during the state's examination of the prosecuting witness, J. W. Donnell, with reference to his ownership and possession of the 4,000-acre tract when, upon objection being made by appellant, the court stated: ""Well, I believe it is general knowledge that he does have possession of it.""",Issue,Facts,False
The amended statute was in effect on the date the indictment alleged the second conviction was had.,Facts,Rule/Law/Holding,False
