Sentence,Label,Predicted,Correct
The convictions are for the misdemeanor offense of unlawful assembly under Arts.,Conclusion,Facts,False
"In view of our disposition of this appeal, a statement of the facts will not be deemed necessary other than to state that formal Bill of Exception No. 2 recites that during the cross-examination of the prosecuting witness appellant developed that the witness had previously made a written statement to the police and district attorney concerning the offense on trial.",Analysis,Facts,False
Appellant's failure to object at the time the pistol was introduced in evidence waived any complaint of the search.,Analysis,Conclusion,False
The jury are the exclusive judges of the credibility of the witnesses and the weight to be given to their testimony.,Analysis,Rule/Law/Holding,False
"The conviction is for burglary; the punishment, enhanced by two prior convictions for felonies less than capital, life imprisonment.",Facts,Conclusion,False
We think the chain of custody of the wine in question was,Others,Analysis,False
The only bill of exception which merits discussion relates to the refusal of the court to require counsel for the state to allow appellant’s counsel to examine an arrest sheet or statement of a state witness for cross-examination purposes.,Analysis,Issue,False
Appellant reurges certain points of error that were answered in our original opinion and we do not deem it necessary to discuss them further.,Analysis,Conclusion,False
"By brief and oral argument, appellant’s very able counsel urges his contentions.",Facts,Others,False
What did he do with that place down there between your legs?,Facts,Others,False
"The search was not made as an incident to the arrest of appellant for the offense of unlawfully carrying on or about her person a pistol, but as an incident to the search of the driver of the automobile in the investigation of the burglary or attempted burglary of the drug store.",Analysis,Facts,False
1 and 2 he determined that each of them,Others,Facts,False
He first says that there was no evidence to support the charge and that it was a comment upon the weight of the evidence.,Facts,Issue,False
It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis,Rule/Law/Holding,False
"State, 352 S.W. 2d 747, we overruled a similar contention in holding that a prior federal narcotic conviction for a like offense could be used under Art. 63, supra, to enhance punishment for a violation of Art. 725b, supra.",Rule/Law/Holding,Analysis,False
The court's instruction was sufficient to cure any error therein.,Analysis,Conclusion,False
The state insists that the statement was admissible in evidence as a part of the res gestae.,Analysis,Issue,False
"Appellant argues with much force that her possession of heroin, shown by the state's evidence, was only such as necessarily resulted from her accommodation of Armstrong in its purchase.",Facts,Issue,False
"First, we have determined that the defendants-appellants may prosecute this appeal independently of any partnership agreement which it might have with other defendants.",Analysis,Conclusion,False
Our prior opinion is withdrawn.,Others,Conclusion,False
"The offense is driving an automobile upon a public highway while intoxicated; the punishment, 3 days in jail and a fine of $100.",Facts,Conclusion,False
"This is demonstrated by the further fact that the prima facie rule regarding the possession of more than a quart of liquor in a dry area was given to the jury, and there was no reference made to the prima facie rule regarding possession of alcoholic beverages such as beer.",Facts,Analysis,False
"Now, in order that I may understand you clearly, when you say he had his hand down there between your legs and catching ahold of it with his fingers, I will ask you whether or not you mean right between your legs where your legs join on your body?",Facts,Others,False
"There is a statement of facts with this record containing the jury argument of counsel, which will be more fully discussed hereafter.",Others,Facts,False
With the exception of appellant's intent each essential element of the offense was proven by direct evidence.,Analysis,Facts,False
"The earliest, and the leading, case on this question is Allen v.",Others,Rule/Law/Holding,False
