Sentence,Label
During this time appellant was released on bail.,Facts
"Through a glass window in the door of the back room, she observed the appellant return to the front of the store where she ""got a good look at him"" as he hesitated for a brief time, walked to the center of the",Facts
"Though the Government has so far restricted itself to ""the shopowners and business affected by the legislation"", this is of little comfort.",Analysis
The sufficiency of the evidence is not questioned.,Analysis
"She testified that she was in the same grade in school with the complaining witness ; that she was with her at the home of her father, the appellant, at his bicycle shop; that she and her brother and the complainant played ball; that the two girls went to get some snow cones; that she did not see her father, the appellant, put his hands on the complainant, nor did she see him kiss her.",Facts
"He was swinging at everyone.""",Facts
The court stated in that case:,Others
They deliberated from twelve to thirteen hours on the matter of punishment alone.,Facts
"While an accused is allowed great latitude in his voir dire examination of prospective jurors to determine whether a preemptory challenge will be used, there is nothing in the record which shows that the question sought to be propounded to the jurors relative to their participation in athletics had any relevancy to the inquiry; hence no abuse of discretion on the part of the trial court is shown.",Analysis
"Appellant, testifying in his own behalf, denied that he had ever had intercourse with the prosecutrix.",Facts
"Toxicologist Metz testified that an examination of the specimen of appellant's blood showed that it contained .165 percent of alcohol, which, according to standards set by the American Medical Association and the National Safety Council, indicated intoxication.",Facts
"The witness testified that he then proceeded inside the house and found that a gun case in the den had been broken open and ""there were marks on the wood where it had been pried open with some object.""",Facts
E. Bailey did communicate that information to the officer.’ ”,Facts
The evidence shows that two officers saw appellant driving on a freeway in Harris County and followed him.,Facts
The motions were heard by Judge John P. Raker and decision was reserved.,Facts
"The state's evidence shows that the prosecuting witness, Dennis Osborn, lived with his family at 5913 Stones Throw in the City of Houston.",Facts
"And, based on this experience on the police force, and based on your observation of the defendant, Willie Lee Bur-rage, on the 12th day of November, 1960, about 12:30 A.M., did you form an opinion as to whether or not the Defendant was intoxicated or under the influence of intoxicating liquor?",Others
"The offense is the sale of whisky in a dry area; the punishment, 45 days in jail and a fine or $550.00.",Facts
"In any event, the judgment appearing in the transcript is not a judgment of conviction from which an appeal may be taken to this court.",Analysis
"Under the statute, the attempt to procure may be",Others
"The cases were set for trial October 10, 1960, but they were passed.",Facts
"All proceedings appear to be regular, and nothing is presented for review.",Conclusion
"The conviction is for felony theft of an automobile; the punishment, 2 years.",Facts
He left and was gone about an hour.,Facts
"The State's proof shows that appellant, as an officer of the company, used the mohair in question for a purpose not authorized by Gee, the owner, in his consignment to the company and is sufficient to sustain appellant's conviction under the statute for embezzlement of the mohair as charged in the indictment.",Analysis
"In the instant proceeding, appellant attempts to appeal from the order of the county court refusing to permit the filing of an amended bond and to reinstate the appeal.",Facts
"The conviction is under Art. 725b, V.A.P.C., as a second offender, for the unlawful possession of a narcotic drug; the punishment, twenty years in the penitentiary.",Facts
They do not disclose that the conviction was for assault with intent to murder with malice or that the offense was committed by laying in wait.,Facts
The voluminous record containing a statement of facts of 615 pages shows a merciless killing of the deceased.,Facts
"The facts further reveal that in addition to the prosecutrix and the appellant, four other boys ""” Gerardo Ramirez Cantu, Daniel Ramerez, Florencio Garcia, and Johnny Hernandez ""” went inside.",Facts
"On January 24, when the appellant refused to stop the car when signaled to do so by the police in Fort Worth, and ran a road block, they shot at and were pursuing him in the car at more than 100 miles per hour when he wrecked it.",Facts
"Officer Ferris testified that when he arrived, he saw the appellant in a house next door to the cafe and saw him place something beside a door which upon recovery was shown to be a .22 pistol containing six live and three spent cartridges.",Facts
ON appellant's motion for rehearing,Others
"The witness replied: ""No.""",Facts
"The appellant did not testify but called one witness, Mabel Elizabeth Wells.",Facts
"In view of these circumstances, no error is shown by the admission of Kitching's testimony.",Analysis
"Following this occurrence the attorney for the appellant moved for a mistrial, which motion the court overruled.",Facts
It is next contended that the proof merely shows an extension of credit by the injured party to the Lewter Feed Lots Company in the sale of the tires and tube to appellant and therefore does not constitute theft.,Issue
Testimony read into the record without objection is tantamount to the introduction of the documents from which the testimony was taken.,Analysis
"On cross-examination, Patrolman Vinyard testified, also without objection, that he was not able to say that the five miles an hour in excess of the fifty-five miles per hour legal speed limit at nightime was the cause of the accident.",Facts
"It was identified by the report attached thereto which contained information corresponding with the other hospital records, of which it became a part, as blood of Jesse E. Ray.",Facts
We didn't fool with the locked safe.,Facts
"Farris and Andrus, after helping Mrs. Jackson start her car, followed in their car down the road to a drive-in where both cars stopped.",Facts
"They later saw their victim's automobile in front of the Vine Street store; they parked in a side street, and she entered the store alone, asked their victim if he had ""the stuff"" for her, and when he replied that he had some she ""threw down on him"" with her pistol.",Facts
"The evidence is sufficient to support the conviction and no error appearing, the judgment is affirmed.",Conclusion
"The record reflects that when the stipulation was made, Officer Jarke was absent from the court because of his duties in civil defense activities during the Storm Carla on the Texas Coast.",Facts
How many times did he do that way with his fingers?,Others
"616, 51 S.W. 2d 715, relied upon by appellant, the statute held to be void was Art. 1426a enacted in 1929 (Acts 41st Legislature p. 62) providing a punishment for the fraudulent taking of cotton or cotton seed, or both, of the value of less than $50, the punishment being different from that for theft of property under Art. 1422 P.C. Judge Morrow, speaking for the Court in Musick's case, supra, stated:",Facts
The officers unloaded “all that stuff” and filed on appellant for transporting wine.,Facts
"In the absence of a statement of facts, nothing is presented for review.",Rule/Law/Holding
"He stated that he observed a number of open beer bottles on the floorboard of appellant's automobile, that appellant had blood on his face, and, from his observation of appellant, expressed the opinion that he was intoxicated.",Facts
"Patrolman Johnson, Tidwell’s partner, corroborated his testimony.",Facts
"The parties then drove on a short distance, and the deceased stopped his car and Mrs. Jackson drove up behind him and stopped.",Facts
"All right, by looking at that can you tell what section of the vagrancy statute the case was filed under?",Others
Appellant further urges error on the ground that the confession was not formally introduced in evidence.,Issue
"This witness further related that appellant brought some shotgun shells and cigarettes to his place of business some time during August, 1961.",Facts
"Appellant's sole contention on appeal is that the evidence is insufficient to support the conviction in that it does not establish that the accident occurred in Harris County, Texas, and does not establish that appellant was the driver of the automobile.",Issue
He then charged on provoking the difficulty.,Facts
"We have examined the charge, however, in light of the objections and find no error which, had exception been properly reserved, would warrant reversal.",Conclusion
"The court submitted to the jury the question as to whether appellant, after being duly warned, voluntarily and freely made and signed the written confession introduced in evidence by the state.",Facts
"Such extrajudicial confession and admissions, standing alone, are not sufficient proof of the corpus delicti.",Analysis
The disposition of this case on appeal is made solely on the basis of a plea of not guilty.,Facts
"The officer testified that ""She was very much intoxicated,"" and that he arrested her.",Facts
"This was clearly inadmissible, and the court erred in failing to respond to appellant's motion to withdraw the same from the jury's consideration.",Analysis
Appellant adduced further testimony showing that nothing unusual transpired in the bicycle shop between him and the young complaining witness.,Facts
"""We think the basis of this complaint is the failure to state all of appellant's grounds of defense rather than a fact of silence when charged with such offense.""",Analysis
"The prosecuting witness, McBirnie, testified that when he sold the tires and tube to appellant and his companions he believed the representations made by them that they had a load of cattle out on the highway and believed that they had the right to use the credit card and had he not so believed he would not have sold the tires and tube to them.",Facts
He raises this contention by formal and informal bills of exception.,Facts
"Aside from the confession of the appellant we find no evidence that he or any other person had sexual intercourse with the 14 year old girl at the time or the place described in the appellant's confession or ""on or about"" the date alleged in the indictment, or at any other time within the period of limitation which is one year prior to the return of the indictment.",Analysis
The officers expressed the opinion that appellant was “very intoxicated.”,Facts
"The state's testimony shows that on the date alleged, the appellant was hunting deer from a stand on a 10-acre tract of land which was inside the enclosure of a 4,000-acre tract of land known as the Lower Muerta pasture.",Facts
I put it in my billfold and then put my billfold in my overnight case.,Facts
The punishment was the same as imposed in this case.,Facts
"Under this statute, as well as under the ordinance in question, the maximum punishment which may be meted out to a peddler who enters the premises of another and refuses to leave, after being notified or ordered to do so by one in lawful occupancy of said premises, is a fine of $25.00; whereas the ordinance provides that ""any other person"" (one who is not a peddler, salesman or solicitor) may be fined $200.00 for the same act and failure.",Rule/Law/Holding
"The offense is passing as true a forged instrument, with three prior convictions for felonies alleged for enhancement; the punishment, life.",Facts
She laid down on the bed * * * but she did not try to push me off or put up any type of struggle.”,Facts
"We need not pass upon the question as to whether the court erred in discharging the jury in the prior case, as the use of the two prior convictions in that case which resulted in a mistrial did not prevent their use in the present case for the purpose of enhancement of the punishment.",Analysis
Proof of such an act is sufficient to sustain the conviction.,Conclusion
"Appellant was present at the commission of the offense in the sense that “present” is used in Article 66 and 69, V.A.P.C., and we find the evidence sufficient to sustain the conviction.",Analysis
"Officer Means, of the Pasadena Police Department, received a description of the automobile and, some 30 minutes later, found it parked in Pasadena.",Facts
"The conviction is for driving while intoxicated; the punishment, 3 days in jail and a fine of $50.00.",Conclusion
He stands convicted for failing to do that which others present with means at hand considered not necessary or proper.,Facts
"The charge given by the court, under the evidence presented, was sufficient; hence no error is shown.",Conclusion
It is concluded that there was a substantial compliance with the requirement that the name of the principal be called distinctly at the court house door.,Conclusion
"The case was called for trial on August 29, 1961.",Facts
"Appellant excepted to the order of the trial court and gave notice of appeal to this court and sought to enter a recognizance, presenting two citizens of Bowie County alleged by him to be well qualified as sureties and who sought to make a recognizance for him.",Facts
Filer: What is that disability is the next question.,Issue
"E. Storey, brother of Ruth Storey's deceased husband, recognized the pistol when the witness Honyea was offering to sell it at the Tiny To-Tem store run by Bob Cummings four days later.",Facts
"If under the facts such testimony was not admissible as bearing upon the issue of self defense, appellant is in no position to complain because like evidence was offered without objection.",Analysis
There are no formal bills of exception or objections to the court's charge.,Facts
