Sentence,Label,Predicted,Correct
Was there anything else?,Others,Facts,False
"The several hundred page glut which made up the record in this case was totally unnecessary; based on the one issue on appeal, a record several pages long was all that was required.",Others,Facts,False
The testimony then continued as follows:,Others,Facts,False
The evidence would appear to be admissible.,Analysis,Facts,False
Appellant reurges certain points of error that were answered in our original opinion and we do not deem it necessary to discuss them further.,Analysis,Facts,False
"E. Evans by the male organ of the defendant must be proved beyond a reasonable doubt.""",Analysis,Rule/Law/Holding,False
"Appellant further contends that the court erred in overruling his motion to quash the indictment on the ground that the alleged prior conviction for unlawfully acquiring marihuana without having paid the transfer tax, being for a violation of a federal regulatory statute, could not be used, under Art. 68, supra, to enhance a conviction for violation of the act. Art. 725b, supra, a prohibitory statute.",Issue,Facts,False
The District Court sees no reason why it should make a de novo decision on matters which were not fully briefed and presented before the Superior Court of Guam.,Analysis,Facts,False
"In view of the evidence and the court's instruction to the jury, no reversible error is shown.",Analysis,Facts,False
"To raise the issue that the appellant as surety did not sign the bond, the answer must contain an affirmative verified plea of non est factum.",Rule/Law/Holding,Facts,False
A suit filed under the Claims Act is a very narrow and limited area for relief.,Rule/Law/Holding,Facts,False
The objections to the charge are that it shifts the burden of proof to the appellant; that it fails to charge the law of reason,Facts,Issue,False
The sole ground for reversal is the contention that the evidence is insufficient to sustain the conviction.,Issue,Facts,False
"It is noted, however, that, as heretofore shown, the order in the instant case transferring the cause to Criminal District Court No. 4 does recite that it was with permission of the court.",Analysis,Facts,False
We also overrule the contention that an issue should have been submitted to the jury as to whether or not a conspiracy to commit the burglary and theft existed.,Conclusion,Issue,False
The conduct inquired about on cross-examination must be inconsistent with the trait of character to which the witness had attested.,Analysis,Facts,False
The statement was a reasonable comment on the evidence and does not present error.,Conclusion,Facts,False
The indictment appears to be sufficient and the trial court did not err in overruling appellant's motion to quash.,Conclusion,Facts,False
"Appellant insists that the court erred in overruling his motion to quash the indictment on the ground that there were no women on the Grand Jury which returned the indictment against him and because women had, except in the years 1955 and 1956, been systematically and deliberately excluded from Grand Jury service in Uvalde County since November 19, 1954, the effective date of the amendment of Article XVI, Section 19 of the Constitution of the State of Texas making women eligible for jury service in this State.",Issue,Facts,False
"The notice of claim is not a pleading, neither is it a trap for the unwary.",Analysis,Facts,False
"472, 293 S.W. 2d 659, we said ""For the argument to offend against the statute, Art. 710, V.A.C.C.P., prohibiting allusion to or comment upon the failure of a defendant to testify, the language used must be looked to from the standpoint of the jury, and the implication that the language used had reference to the defendant's failure to testify must be a necessary one.",Rule/Law/Holding,Facts,False
"Without a further description, the accused was not put on notice as to what he was alleged to have taken by force.",Analysis,Facts,False
None of the sentences were cumulated.,Others,Facts,False
"Thus there is no possibility of a Government Claims Action based on an intentional tort, and the plaintiff has not attempted to plead such a cause of action.",Analysis,Facts,False
"The offense is assault with intent to murder; the punishment, seven years.",Conclusion,Facts,False
"Under such record, no reversible error is shown.",Conclusion,Facts,False
"It is insisted that the trial court erred in admitting the evidence concerning appellant's attempt to bribe Officer Maddox, over his' objection that it was inflammatory and prejudicial.",Issue,Facts,False
Appellant next insists that the court erred in admitting evidence of certain extraneous offenses concerning appellant which were not admissible to serve any pertinent issue in the case.,Issue,Facts,False
We hold this evidence was admissible to show that the appellant had a motive for killing Farris.,Conclusion,Facts,False
"The girl, then, headed back hastily toward the corner.",Facts,Others,False
"Its only possible use, apparent to us, is to inflict injury and is the type that would be fabricated and carried by one planning to engage in an assault upon another person.",Analysis,Facts,False
The presumption is that the trial judge ruled correctly when he declined to order a mistrial during the closing argument.,Analysis,Rule/Law/Holding,False
We do not agree with this contention.,Conclusion,Analysis,False
"We do not deem it necessary to review the holding of this Court in Ex Parte Jonischkies, 88 Texas Cr.",Analysis,Rule/Law/Holding,False
"""GENTLEMENS OF THE JURY:",Others,Facts,False
What did he do with that place down there between your legs?,Facts,Analysis,False
Our holding that the evidence relating to the search was properly before the court disposes of appellant's contention that without such evidence his motion for instructed verdict was improperly overruled.,Conclusion,Facts,False
"""Nor need the State aver in expressed terms that the act charged was ""˜unlawfully' done where the facts alleged clearly show it to be unlawful.""",Rule/Law/Holding,Facts,False
"Our prior opinion is withdrawn, and this one is adopted in lieu thereof.",Conclusion,Analysis,False
"For the reason stated, the judgment is reversed and the prosecution ordered dismissed.",Conclusion,Analysis,False
"Our prior opinion dismissing' this appeal is withdrawn, along with the opinion on motion for rehearing, and the appeal is reinstated and is disposed of by this opinion.",Conclusion,Analysis,False
"Though false imprisonment is a lesser included offense to kidnapping under the terms of Article 695, V.A.C.C.P., the necessity for such a charge has been decided adversely to appellant's contention in Daywood v.",Analysis,Facts,False
It is well settled that a conviction for theft by false pretext can be had upon such an indictment.,Analysis,Rule/Law/Holding,False
"The holding was that such testimony and argument offended the rule that whether warned or not, the silence of the defendant while under arrest cannot be used against him as a confession of the truth of statements made in his presence by his codefendants or anybody else.",Rule/Law/Holding,Issue,False
"There is nothing in the record showing that a brief has been filed in this Court, as required by the Rules of Civil Procedure.",Analysis,Facts,False
The legislature determined that a similar rationale did not exist for intentional wrong doing by government employees.,Analysis,Facts,False
In submitting the issue of appellant's guilt to the jury the court instructed as follows:,Others,Facts,False
We have examined the record with care and fail to find any undisputed evidence which would render the confession inadmissible as a matter of law.,Analysis,Facts,False
Opinion approved by the court.,Others,Conclusion,False
We overrule appellant's remaining contention that the court erred in failing to charge the jury on the law of entrapment.,Conclusion,Rule/Law/Holding,False
It is apparent from the above facts that the contention presents no error.,Analysis,Facts,False
"We find no error in the instruction given by the court that would warrant a reversal under the provisions of Art. 666, V.A.C.C.P.",Conclusion,Facts,False
The state's testimony reflects the following:,Others,Facts,False
