Label,Predicted,Count
Analysis,Facts,81
Conclusion,Facts,41
Issue,Facts,25
Rule/Law/Holding,Facts,24
Others,Facts,22
Facts,Others,12
Facts,Rule/Law/Holding,6
Facts,Issue,5
Others,Rule/Law/Holding,5
Analysis,Conclusion,5
Conclusion,Rule/Law/Holding,5
Rule/Law/Holding,Others,5
Facts,Analysis,3
Others,Conclusion,3
Analysis,Rule/Law/Holding,3
Conclusion,Others,2
Conclusion,Issue,2
Conclusion,Analysis,2
Rule/Law/Holding,Analysis,2
Facts,Conclusion,1
Issue,Conclusion,1
Others,Issue,1
Analysis,Issue,1
Rule/Law/Holding,Issue,1
